token	pos
TO	TO
THE	DT
SENATE	NN
AND	CC
HOUSE	NN
OF	IN
REPRESENTATIVES	NNS
:	:
I	PRP
sincerely	RB
regret	VBP
that	IN
I	PRP
cannot	MD
be	VB
present	JJ
at	IN
the	DT
opening	NN
of	IN
this	DT
session	NN
of	IN
the	DT
Congress	NNP
.	.
I	PRP
am	VBP
thus	RB
prevented	VBN
from	IN
presenting	VBG
in	IN
as	IN
direct	JJ
a	DT
way	NN
as	IN
I	PRP
could	MD
wish	VB
the	DT
many	JJ
questions	NNS
that	WDT
are	VBP
pressing	VBG
for	IN
solution	NN
at	IN
this	DT
time	NN
.	.
Happily	RB
,	,
I	PRP
have	VBP
had	VBD
the	DT
advantage	NN
of	IN
the	DT
advice	NN
of	IN
the	DT
heads	NNS
of	IN
the	DT
several	JJ
executive	NN
departments	NNS
who	WP
have	VBP
kept	VBN
in	RP
close	JJ
touch	NN
with	IN
affairs	NNS
in	IN
their	PRP$
detail	NN
and	CC
whose	WP$
thoughtful	JJ
recommendations	NNS
I	PRP
earnestly	RB
second	JJ
.	.
In	IN
the	DT
matter	NN
of	IN
the	DT
railroads	NNS
and	CC
the	DT
readjustment	NN
of	IN
their	PRP$
affairs	NNS
growing	VBG
out	IN
of	IN
Federal	JJ
control	NN
,	,
I	PRP
shall	MD
take	VB
the	DT
liberty	NN
at	IN
a	DT
later	JJ
date	NN
of	IN
addressing	VBG
you	PRP
.	.
I	PRP
hope	VBP
that	IN
Congress	NNP
will	MD
bring	VB
to	TO
a	DT
conclusion	NN
at	IN
this	DT
session	NN
legislation	NN
looking	VBG
to	TO
the	DT
establishment	NN
of	IN
a	DT
budget	NN
system	NN
.	.
That	IN
there	EX
should	MD
be	VB
one	CD
single	JJ
authority	NN
responsible	JJ
for	IN
the	DT
making	NN
of	IN
all	DT
appropriations	NNS
and	CC
that	IN
appropriations	NNS
should	MD
be	VB
made	VBN
not	RB
independently	RB
of	IN
each	DT
other	JJ
,	,
but	CC
with	IN
reference	NN
to	TO
one	CD
single	JJ
comprehensive	JJ
plan	NN
of	IN
expenditure	NN
properly	RB
related	VBN
to	TO
the	DT
nation	NN
's	POS
income	NN
,	,
there	EX
can	MD
be	VB
no	DT
doubtI	RB
believe	VBP
the	DT
burden	NN
of	IN
preparing	VBG
the	DT
budget	NN
must	MD
,	,
in	IN
the	DT
nature	NN
of	IN
'	POS
the	DT
case	NN
,	,
if	IN
the	DT
work	NN
is	VBZ
to	TO
be	VB
properly	RB
done	VBN
and	CC
responsibility	NN
concentrated	VBN
instead	RB
of	IN
divided	VBN
,	,
rest	NN
