token	pos
The	DT
above	IN
is	VBZ
only	RB
a	DT
partial	JJ
list	NN
of	IN
the	DT
revolutions	NNS
,	,
rebellions	NNS
,	,
insurrections	NNS
,	,
riots	NNS
,	,
and	CC
other	JJ
outbreaks	NNS
that	WDT
have	VBP
occurred	VBN
during	IN
the	DT
period	NN
in	IN
question	NN
;	:
yet	RB
they	PRP
number	NN
53	CD
for	IN
the	DT
57	CD
years	NNS
.	.
It	PRP
will	MD
be	VB
noted	VBN
that	IN
one	CD
of	IN
them	PRP
lasted	VBD
for	IN
nearly	RB
three	CD
years	NNS
before	IN
it	PRP
was	VBD
quelled	VBN
;	:
another	DT
for	IN
nearly	RB
a	DT
year	NN
.	.
In	IN
short	JJ
,	,
the	DT
experience	NN
of	IN
over	IN
half	NN
a	DT
century	NN
has	VBZ
shown	VBN
Colombia	NNP
to	TO
be	VB
utterly	RB
incapable	JJ
of	IN
keeping	VBG
order	NN
on	IN
the	DT
Isthmus	NNP
.	.
Only	RB
the	DT
active	JJ
interference	NN
of	IN
the	DT
United	NNP
States	NNPS
has	VBZ
enabled	VBN
her	PRP$
to	TO
preserve	VB
so	RB
much	RB
as	IN
a	DT
semblance	NN
of	IN
sovereignty	NN
.	.
Had	VBD
it	PRP
not	RB
been	VBN
for	IN
the	DT
exercise	NN
by	IN
the	DT
United	NNP
States	NNP
of	IN
the	DT
police	NN
power	NN
in	IN
her	PRP$
interest	NN
,	,
her	PRP
connection	NN
with	IN
the	DT
Isthmus	NNP
would	MD
have	VB
been	VBN
sundered	VBN
long	RB
ago	RB
.	.
In	IN
1856	CD
,	,
in	IN
1860	CD
,	,
in	IN
1873	CD
,	,
in	IN
1885	CD
,	,
in	IN
1901	CD
,	,
and	CC
again	RB
in	IN
1902	CD
,	,
sailors	NNS
and	CC
marines	NNS
from	IN
United	NNP
States	NNPS
war	NN
ships	NNS
were	VBD
forced	VBN
to	TO
land	VB
in	IN
order	NN
to	TO
patrol	VB
the	DT
Isthmus	NNP
,	,
to	TO
protect	VB
life	NN
and	CC
property	NN
,	,
and	CC
to	TO
see	VB
that	IN
the	DT
transit	NN
across	IN
the	DT
Isthmus	NNP
