token	pos
Other	JJ
objects	NNS
will	MD
likewise	RB
claim	VB
your	PRP$
attention	NN
,	,
because	IN
from	IN
the	DT
station	NN
which	WDT
the	DT
United	NNP
States	NNPS
hold	VBP
as	IN
a	DT
member	NN
of	IN
the	DT
great	JJ
community	NN
of	IN
nations	NNS
they	PRP
have	VBP
rights	NNS
to	TO
maintain	VB
,	,
duties	NNS
to	TO
perform	VB
,	,
and	CC
dangers	NNS
to	TO
encounter	VB
.	.
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
Many	JJ
causes	NNS
unite	NN
to	TO
make	VB
your	PRP$
present	JJ
meeting	NN
peculiarly	RB
interesting	JJ
to	TO
out	RP
constituents	NNS
.	.
The	DT
operation	NN
of	IN
our	PRP$
laws	NNS
on	IN
the	DT
various	JJ
subjects	NNS
to	TO
which	WDT
they	PRP
apply	VBP
,	,
with	IN
the	DT
amendments	NNS
which	WDT
they	PRP
occasionally	RB
require	VBP
,	,
imposes	VBZ
annually	RB
an	DT
important	JJ
duty	NN
on	IN
the	DT
representatives	NNS
of	IN
a	DT
free	JJ
people	NNS
.	.
Our	PRP$
system	NN
has	VBZ
happily	RB
advanced	VBN
to	TO
such	JJ
maturity	NN
that	IN
I	PRP
am	VBP
not	RB
aware	JJ
that	IN
your	PRP$
cares	NNS
in	IN
that	DT
respect	NN
will	MD
be	VB
augmented	VBN
.	.
Other	JJ
causes	NNS
exist	VBP
which	WDT
are	VBP
highly	RB
interesting	JJ
to	TO
the	DT
whole	JJ
civilized	JJ
world	NN
and	CC
to	TO
no	DT
portion	NN
of	IN
it	PRP
more	RBR
so	RB
,	,
in	IN
certain	JJ
views	NNS
,	,
than	IN
to	TO
the	DT
United	NNP
States	NNP
.	.
Of	IN
these	DT
causes	NNS
and	CC
of	IN
their	PRP$
bearing	NN
on	IN
the	DT
interests	NNS
of	IN
our	PRP$
Union	NN
I	PRP
shall	MD
communicate	VB
the	DT
sentiments	NNS
which	WDT
I	PRP
have	VBP
formed	VBN
with	IN
that	DT
freedom	NN
which	WDT
a	DT
sense	NN
of	IN
duty	NN
dictates	NNS
.	.
It	PRP
is	VBZ
proper	JJ
,	,
however	RB
,	,
to	TO
invite	VB
your	PRP$
attention	NN
in	IN
the	DT
first	JJ
instance	NN
to	TO
those	DT
concerns	NNS
respecting	NN
which	WDT
legislative	JJ
provision	NN
is	VBZ
thought	VBN
to	TO
be	VB
particularly	RB
urgent	JJ
.	.
On	IN
the	DT
24th	JJ
of	IN
June	NNP
last	JJ
a	DT
convention	NN
of	IN
navigation	NN
and	CC
commerce	NN
was	VBD
concluded	VBN
in	IN
this	DT
city	NN
between	IN
the	DT
United	NNP
States	NNP
and	CC
France	NNP
by	IN
ministers	NNS
duly	RB
authorized	VBD
for	IN
the	DT
purpose	NN
.	.
The	DT
sanction	NN
of	IN
the	DT
Executive	NNP
having	VBG
been	VBN
given	VBN
to	TO
this	DT
convention	NN
under	IN
a	DT
conviction	NN
that	IN
,	,
taking	VBG
all	DT
its	PRP$
stipulations	NNS
into	IN
view	NN
,	,
it	PRP
rested	VBD
essentially	RB
on	IN
a	DT
basis	NN
of	IN
reciprocal	JJ
and	CC
equal	JJ
advantage	NN
,	,
I	PRP
deemed	VBD
it	PRP
my	PRP$
duty	NN
,	,
in	IN
compliance	NN
with	IN
the	DT
authority	NN
vested	VBN
in	IN
the	DT
Executive	NNP
by	IN
the	DT
second	JJ
section	NN
of	IN
the	DT
act	NN
of	IN
the	DT
last	JJ
session	NN
of	IN
the	DT
6th	JJ
of	IN
May	NNP
,	,
concerning	VBG
navigation	NN
,	,
to	TO
suspend	VB
by	IN
proclamation	NN
until	IN
the	DT
end	NN
of	IN
the	DT
next	JJ
session	NN
of	IN
Congress	NNP
the	DT
operation	NN
of	IN
the	DT
act	NN
entitled	VBN
"	``
An	DT
act	NN
to	TO
impose	VB
a	DT
new	JJ
tonnage	NN
duty	NN
on	IN
French	JJ
ships	NNS
and	CC
vessels	NNS
,	,
and	CC
for	IN
other	JJ
purposes	NNS
"	``
,	,
and	CC
to	TO
suspend	VB
likewise	RB
all	DT
other	JJ
duties	NNS
on	IN
French	JJ
vessels	NNS
or	CC
the	DT
goods	NNS
imported	VBN
in	IN
them	PRP
which	WDT
exceeded	VBD
the	DT
duties	NNS
on	IN
American	NNP
vessels	NNS
and	CC
on	IN
similar	JJ
goods	NNS
imported	VBN
in	IN
them	PRP
.	.
I	PRP
shall	MD
submit	VB
this	DT
convention	NN
forthwith	IN
to	TO
the	DT
Senate	NNP
for	IN
its	PRP$
advice	NN
and	CC
consent	NN
as	IN
to	TO
the	DT
ratification	NN
.	.
Since	IN
your	PRP$
last	JJ
session	NN
the	DT
prohibition	NN
which	WDT
had	VBD
been	VBN
imposed	VBN
on	IN
the	DT
commerce	NN
between	IN
the	DT
United	NNP
States	NNP
and	CC
the	DT
British	JJ
colonies	NNS
in	IN
the	DT
West	NNP
Indies	NNP
and	CC
on	IN
this	DT
continent	NN
has	VBZ
likewise	RB
been	VBN
removed	VBN
.	.
Satisfactory	NNP
evidence	NN
having	VBG
been	VBN
adduced	VBN
that	IN
the	DT
ports	NNS
of	IN
those	DT
colonies	NNS
had	VBD
been	VBN
opened	VBN
to	TO
the	DT
vessels	NNS
of	IN
the	DT
United	NNP
States	NNP
by	IN
an	DT
act	NN
of	IN
the	DT
British	NNP
Parliament	NNP
bearing	NN
date	NN
on	IN
the	DT
24th	JJ
of	IN
June	NNP
last	JJ
,	,
on	IN
the	DT
conditions	NNS
specified	VBN
therein	RB
,	,
I	PRP
deemed	VBD
it	PRP
proper	JJ
,	,
in	IN
compliance	NN
with	IN
the	DT
provision	NN
of	IN
the	DT
first	JJ
section	NN
of	IN
the	DT
act	NN
of	IN
the	DT
last	JJ
session	NN
above	IN
recited	VBN
,	,
to	TO
declare	VB
,	,
by	IN
proclamation	NN
bearing	NN
date	NN
on	IN
the	DT
24th	JJ
of	IN
August	NNP
last	JJ
,	,
that	IN
the	DT
ports	NNS
of	IN
the	DT
United	NNP
States	NNPS
should	MD
thenceforward	RB
and	CC
until	IN
the	DT
end	NN
of	IN
the	DT
next	JJ
session	NN
of	IN
Congress	NNP
be	VB
opened	VBN
to	TO
the	DT
vessels	NNS
of	IN
Great	NNP
Britain	NNP
employed	VBN
in	IN
that	DT
trade	NN
,	,
under	IN
the	DT
limitation	NN
specified	VBN
in	IN
that	DT
proclamation	NN
.	.
A	DT
doubt	NN
was	VBD
entertained	VBN
whether	IN
the	DT
act	NN
of	IN
Congress	NNP
applied	VBD
to	TO
the	DT
British	JJ
colonies	NNS
on	IN
this	DT
continent	NN
as	RB
well	RB
as	IN
to	TO
those	DT
in	IN
the	DT
West	NNP
Indies	NNP
,	,
but	CC
as	IN
the	DT
act	NN
of	IN
Parliament	NNP
opened	VBD
the	DT
intercourse	NN
equally	RB
with	IN
both	DT
,	,
and	CC
it	PRP
was	VBD
the	DT
manifest	JJ
intention	NN
of	IN
Congress	NNP
,	,
as	RB
well	RB
as	IN
the	DT
obvious	JJ
policy	NN
of	IN
the	DT
United	NNP
States	NNP
,	,
that	IN
the	DT
provisions	NNS
of	IN
the	DT
act	NN
of	IN
Parliament	NNP
should	MD
be	VB
met	VBN
in	IN
equal	JJ
extent	NN
on	IN
the	DT
part	NN
of	IN
the	DT
United	NNP
States	NNP
,	,
and	CC
as	RB
also	RB
the	DT
act	NN
of	IN
Congress	NNP
was	VBD
supposed	VBN
to	TO
vest	VB
in	IN
the	DT
President	NNP
some	DT
discretion	NN
in	IN
the	DT
execution	NN
of	IN
it	PRP
,	,
I	PRP
thought	VBD
it	PRP
advisable	JJ
to	TO
give	VB
it	PRP
a	DT
corresponding	JJ
construction	NN
.	.
Should	MD
the	DT
constitutional	JJ
sanction	NN
of	IN
the	DT
Senate	NNP
be	VB
given	VBN
to	TO
the	DT
ratification	NN
of	IN
the	DT
convention	NN
with	IN
France	NNP
,	,
legislative	JJ
provisions	NNS
will	MD
be	VB
necessary	JJ
to	TO
carry	VB
it	PRP
fully	RB
into	IN
effect	NN
,	,
as	IN
it	PRP
likewise	RB
will	MD
be	VB
to	TO
continue	VB
in	IN
force	NN
,	,
on	IN
such	JJ
conditions	NNS
as	IN
may	MD
be	VB
deemed	VBN
just	RB
and	CC
proper	JJ
,	,
the	DT
intercourse	NN
which	WDT
has	VBZ
been	VBN
opened	VBN
between	IN
the	DT
United	NNP
States	NNP
and	CC
the	DT
British	JJ
colonies	NNS
.	.
Every	DT
light	NN
in	IN
the	DT
possession	NN
of	IN
the	DT
Executive	NNP
will	NN
in	IN
due	JJ
time	NN
be	VB
communicated	VBN
on	IN
both	DT
subjects	NNS
.	.
Resting	VBG
essentially	RB
on	IN
a	DT
basis	NN
of	IN
reciprocal	JJ
and	CC
equal	JJ
advantage	NN
,	,
it	PRP
has	VBZ
been	VBN
the	DT
object	NN
of	IN
the	DT
Executive	NNP
in	IN
transactions	NNS
with	IN
other	JJ
powers	NNS
to	TO
meet	VB
the	DT
propositions	NNS
of	IN
each	DT
with	IN
a	DT
liberal	JJ
spirit	NN
,	,
believing	VBG
that	IN
thereby	RB
the	DT
interest	NN
of	IN
our	PRP$
country	NN
would	MD
be	VB
most	RBS
effectually	RB
promoted	VBN
.	.
This	DT
course	NN
has	VBZ
been	VBN
systematically	RB
pursued	VBN
in	IN
the	DT
late	JJ
occurrences	NNS
with	IN
France	NNP
and	CC
Great	NNP
Britain	NNP
,	,
and	CC
in	IN
strict	JJ
accord	NN
with	IN
the	DT
views	NNS
of	IN
the	DT
Legislature	NNP
.	.
A	DT
confident	JJ
hope	NN
is	VBZ
entertained	VBN
that	IN
by	IN
the	DT
arrangement	NN
thus	RB
commenced	VBN
with	IN
each	DT
all	DT
differences	NNS
respecting	VBG
navigation	NN
and	CC
commerce	NN
with	IN
the	DT
dominions	NNS
in	IN
question	NN
will	MD
be	VB
adjusted	VBN
,	,
and	CC
a	DT
solid	JJ
foundation	NN
be	VB
laid	VBN
for	IN
an	DT
active	JJ
and	CC
permanent	JJ
intercourse	NN
which	WDT
will	MD
prove	VB
equally	RB
advantageous	JJ
to	TO
both	DT
parties	NNS
.	.
The	DT
decision	NN
of	IN
His	PRP$
Imperial	NNP
Majesty	NNP
the	DT
Emperor	NNP
of	IN
Russia	NNP
on	IN
the	DT
question	NN
submitted	VBD
to	TO
him	PRP
