token	pos
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
of	IN
the	DT
House	NNP
of	IN
Representatives	NNPS
:	:
The	DT
past	NN
has	VBZ
been	VBN
an	DT
eventful	JJ
year	NN
,	,
and	CC
will	MD
be	VB
hereafter	RB
referred	VBN
to	TO
as	IN
a	DT
marked	JJ
epoch	NN
in	IN
the	DT
history	NN
of	IN
the	DT
world	NN
.	.
While	IN
we	PRP
have	VBP
been	VBN
happily	RB
preserved	VBN
from	IN
the	DT
calamities	NNS
of	IN
war	NN
,	,
our	PRP$
domestic	JJ
prosperity	NN
has	VBZ
not	RB
been	VBN
entirely	RB
uninterrupted	JJ
.	.
The	DT
crops	NNS
in	IN
portions	NNS
of	IN
the	DT
country	NN
have	VBP
been	VBN
nearly	RB
cut	VBN
off	RP
.	.
Disease	NN
has	VBZ
prevailed	VBN
to	TO
a	DT
greater	JJR
extent	NN
than	IN
usual	JJ
,	,
and	CC
the	DT
sacrifice	NN
of	IN
human	JJ
life	NN
through	IN
casualties	NNS
by	IN
sea	NN
and	CC
land	NN
is	VBZ
without	IN
parallel	RB
.	.
But	CC
the	DT
pestilence	NN
has	VBZ
swept	VBN
by	IN
,	,
and	CC
restored	VBD
salubrity	NN
invites	VBZ
the	DT
absent	JJ
to	TO
their	PRP$
homes	NNS
and	CC
the	DT
return	NN
of	IN
business	NN
to	TO
its	PRP$
ordinary	JJ
channels	NNS
.	.
If	IN
the	DT
earth	NN
has	VBZ
rewarded	VBN
the	DT
labor	NN
of	IN
the	DT
husbandman	NN
less	RBR
bountifully	RB
than	IN
in	IN
preceding	VBG
seasons	NNS
,	,
it	PRP
has	VBZ
left	VBN
him	PRP
with	IN
abundance	NN
for	IN
domestic	JJ
wants	NNS
and	CC
a	DT
large	JJ
surplus	NN
for	IN
exportation	NN
.	.
In	IN
the	DT
present	NN
,	,
therefore	RB
,	,
as	IN
in	IN
the	DT
past	NN
,	,
we	PRP
find	VBP
ample	JJ
grounds	NNS
for	IN
reverent	NN
thankfulness	IN
to	TO
the	DT
God	NNP
of	IN
grace	NN
and	CC
providence	NN
for	IN
His	PRP$
protecting	VBG
care	NN
and	CC
merciful	JJ
dealings	NNS
with	IN
us	PRP
as	IN
a	DT
people	NNS
.	.
Although	IN
our	PRP$
attention	NN
has	VBZ
been	VBN
arrested	VBN
by	IN
painful	JJ
interest	NN
in	IN
passing	VBG
events	NNS
,	,
yet	RB
our	PRP$
country	NN
feels	VBZ
no	RB
more	RBR
than	IN
the	DT
slight	JJ
vibrations	NNS
of	IN
the	DT
convulsions	NNS
which	WDT
have	VBP
shaken	VBN
Europe	NNP
.	.
As	IN
individuals	NNS
we	PRP
can	MD
not	RB
repress	VB
sympathy	NN
with	IN
human	JJ
suffering	NN
nor	CC
regret	NN
for	IN
the	DT
causes	NNS
which	WDT
produce	VBP
it	PRP
;	:
as	IN
a	DT
nation	NN
we	PRP
are	VBP
reminded	VBN
that	IN
whatever	WDT
interrupts	VBZ
the	DT
peace	NN
or	CC
checks	NNS
the	DT
prosperity	NN
of	IN
any	DT
part	NN
of	IN
Christendom	NNP
tends	VBZ
more	RBR
or	CC
less	RBR
to	TO
involve	VB
our	PRP$
own	JJ
.	.
The	DT
condition	NN
of	IN
States	NNP
is	VBZ
not	RB
unlike	IN
that	DT
of	IN
individuals	NNS
;	:
they	PRP
are	VBP
mutually	RB
dependent	JJ
upon	IN
each	DT
other	JJ
.	.
Amicable	JJ
relations	NNS
between	IN
them	PRP
and	CC
reciprocal	JJ
good	JJ
will	NN
are	VBP
essential	JJ
for	IN
the	DT
promotion	NN
of	IN
whatever	WDT
is	VBZ
desirable	JJ
in	IN
their	PRP$
moral	JJ
,	,
social	JJ
,	,
and	CC
political	JJ
condition	NN
.	.
Hence	RB
it	PRP
has	VBZ
been	VBN
my	PRP$
earnest	NN
endeavor	NN
to	TO
maintain	VB
peace	NN
and	CC
friendly	JJ
intercourse	NN
with	IN
all	DT
nations	NNS
.	.
The	DT
wise	JJ
theory	NN
of	IN
this	DT
Government	NN
,	,
so	RB
early	RB
adopted	VBN
and	CC
steadily	RB
pursued	VBD
,	,
of	IN
avoiding	VBG
all	DT
entangling	JJ
alliances	NNS
has	VBZ
hitherto	VBN
exempted	VBN
it	PRP
from	IN
many	JJ
complications	NNS
in	IN
which	WDT
it	PRP
would	MD
otherwise	RB
have	VB
become	VBN
involved	VBN
.	.
Notwithstanding	NN
this	DT
our	PRP$
clearly	RB
defined	VBN
and	CC
well-sustained	JJ
course	NN
of	IN
action	NN
and	CC
our	PRP$
geographical	JJ
position	NN
,	,
so	RB
remote	JJ
from	IN
Europe	NNP
,	,
increasing	VBG
disposition	NN
has	VBZ
been	VBN
manifested	VBN
by	IN
some	DT
of	IN
its	PRP$
Governments	NNS
to	TO
supervise	VB
and	CC
in	IN
certain	JJ
respects	NNS
to	TO
direct	VB
our	PRP$
foreign	JJ
policy	NN
.	.
In	IN
plans	NNS
for	IN
adjusting	VBG
the	DT
balance	NN
of	IN
power	NN
among	IN
themselves	PRP
they	PRP
have	VBP
assumed	VBN
to	TO
take	VB
us	PRP
into	IN
account	NN
,	,
and	CC
would	MD
constrain	VB
us	PRP
to	TO
conform	VB
our	PRP$
conduct	NN
to	TO
their	PRP$
views	NNS
.	.
One	CD
or	CC
another	DT
of	IN
the	DT
powers	NNS
of	IN
Europe	NNP
has	VBZ
from	IN
time	NN
to	TO
time	NN
undertaken	VBN
to	TO
enforce	VB
arbitrary	JJ
regulations	NNS
contrary	JJ
in	IN
many	JJ
respects	NNS
to	TO
established	JJ
principles	NNS
of	IN
international	JJ
law	NN
.	.
That	DT
law	NN
the	DT
United	NNP
States	NNPS
have	VBP
in	IN
their	PRP$
foreign	JJ
intercourse	NN
uniformly	RB
respected	VBD
and	CC
observed	VBD
,	,
and	CC
they	PRP
can	MD
not	RB
recognize	VB
any	DT
such	JJ
interpolations	NNS
therein	RB
as	IN
the	DT
temporary	JJ
interests	NNS
of	IN
others	NNS
may	MD
suggest	VB
.	.
They	PRP
do	VBP
not	RB
admit	VB
that	IN
the	DT
sovereigns	NNS
of	IN
one	CD
continent	NN
or	CC
of	IN
a	DT
particular	JJ
community	NN
of	IN
states	NNS
can	MD
legislate	VB
for	IN
all	DT
others	NNS
.	.
Leaving	VBG
the	DT
transatlantic	JJ
nations	NNS
to	TO
adjust	VB
their	PRP$
political	JJ
system	NN
in	IN
the	DT
way	NN
they	PRP
may	MD
think	VB
best	JJS
for	IN
their	PRP$
common	JJ
welfare	NN
,	,
the	DT
independent	JJ
powers	NNS
of	IN
this	DT
continent	NN
may	MD
well	RB
assert	VB
the	DT
right	NN
to	TO
be	VB
exempt	JJ
from	IN
all	DT
annoying	JJ
interference	NN
on	IN
their	PRP$
part	NN
.	.
Systematic	JJ
abstinence	NN
from	IN
intimate	JJ
political	JJ
connection	NN
with	IN
distant	JJ
foreign	JJ
nations	NNS
does	VBZ
not	RB
conflict	NN
with	IN
giving	VBG
the	DT
widest	JJ
range	NN
to	TO
our	PRP$
foreign	JJ
commerce	NN
.	.
This	DT
distinction	NN
,	,
so	RB
clearly	RB
marked	VBN
in	IN
history	NN
,	,
seems	VBZ
to	TO
have	VB
been	VBN
overlooked	VBN
or	CC
disregarded	VBN
by	IN
some	DT
leading	VBG
foreign	JJ
states	NNS
.	.
Our	PRP$
refusal	NN
to	TO
be	VB
brought	VBN
within	IN
and	CC
subjected	VBN
to	TO
their	PRP$
peculiar	JJ
system	NN
has	VBZ
,	,
I	PRP
fear	VBP
,	,
created	VBD
a	DT
jealous	JJ
distrust	NN
of	IN
our	PRP$
conduct	NN
and	CC
induced	VBD
on	IN
their	PRP$
part	NN
occasional	JJ
acts	NNS
of	IN
disturbing	JJ
effect	NN
upon	IN
our	PRP$
foreign	JJ
relations	NNS
.	.
Our	PRP$
present	JJ
attitude	NN
and	CC
past	JJ
course	NN
give	VBP
assurances	NNS
,	,
which	WDT
should	MD
not	RB
be	VB
questioned	VBN
,	,
that	IN
our	PRP$
purposes	NNS
are	VBP
not	RB
aggressive	JJ
nor	CC
threatening	JJ
to	TO
the	DT
safety	NN
and	CC
welfare	NN
of	IN
other	JJ
nations	NNS
.	.
Our	PRP$
military	JJ
establishment	NN
in	IN
time	NN
of	IN
peace	NN
is	VBZ
adapted	VBN
to	TO
maintain	VB
exterior	JJ
defenses	NNS
and	CC
to	TO
preserve	VB
order	NN
among	IN
the	DT
aboriginal	JJ
tribes	NNS
within	IN
the	DT
limits	NNS
of	IN
the	DT
Union	NNP
.	.
Our	PRP$
naval	JJ
force	NN
is	VBZ
intended	VBN
only	RB
for	IN
the	DT
protection	NN
of	IN
our	PRP$
citizens	NNS
abroad	RB
and	CC
of	IN
our	PRP$
commerce	NN
,	,
diffused	JJ
,	,
as	IN
it	PRP
is	VBZ
,	,
over	IN
all	DT
the	DT
seas	NNS
of	IN
the	DT
globe	NN
.	.
The	DT
Government	NN
of	IN
the	DT
United	NNP
States	NNP
,	,
being	VBG
essentially	RB
pacific	JJ
in	IN
policy	NN
,	,
stands	VBZ
prepared	VBN
to	TO
repel	VB
invasion	NN
by	IN
the	DT
voluntary	JJ
service	NN
of	IN
a	DT
patriotic	JJ
people	NNS
,	,
and	CC
provides	VBZ
no	DT
permanent	JJ
means	NNS
of	IN
foreign	JJ
aggression	NN
.	.
These	DT
considerations	NNS
should	MD
allay	VB
all	DT
apprehension	NN
that	IN
we	PRP
are	VBP
disposed	VBN
to	TO
encroach	VB
on	IN
the	DT
rights	NNS
or	CC
endanger	VB
the	DT
security	NN
of	IN
other	JJ
states	NNS
.	.
Some	DT
European	JJ
powers	NNS
have	VBP
regarded	VBN
with	IN
disquieting	VBG
concern	NN
the	DT
territorial	JJ
expansion	NN
of	IN
the	DT
United	NNP
States	NNP
.	.
This	DT
rapid	JJ
growth	NN
has	VBZ
resulted	VBN
from	IN
the	DT
legitimate	JJ
exercise	NN
of	IN
sovereign	JJ
rights	NNS
belonging	VBG
alike	RB
to	TO
all	DT
nations	NNS
,	,
and	CC
by	IN
many	JJ
liberally	RB
exercised	VBN
.	.
Under	IN
such	JJ
circumstances	NNS
it	PRP
could	MD
hardly	RB
have	VB
been	VBN
expected	VBN
that	IN
those	DT
among	IN
them	PRP
which	WDT
have	VBP
within	IN
a	DT
comparatively	RB
recent	JJ
period	NN
subdued	VBN
and	CC
absorbed	VBN
ancient	JJ
kingdoms	NNS
,	,
planted	VBD
their	PRP$
standards	NNS
on	IN
every	DT
continent	NN
,	,
and	CC
now	RB
possess	VBP
or	CC
claim	VBP
the	DT
control	NN
of	IN
the	DT
islands	NNS
of	IN
every	DT
ocean	NN
as	IN
their	PRP$
appropriate	JJ
domain	NN
would	MD
look	VB
with	IN
unfriendly	JJ
sentiments	NNS
upon	IN
the	DT
acquisitions	NNS
of	IN
this	DT
country	NN
,	,
in	IN
every	DT
instance	NN
honorably	RB
obtained	VBD
,	,
or	CC
would	MD
