token	pos
Mr.	NNP
Speaker	NNP
,	,
Mr.	NNP
Vice	NNP
President	NNP
,	,
Members	NNP
of	IN
Congress	NNP
,	,
honored	VBN
guests	NNS
,	,
my	PRP$
fellow	JJ
Americans	NNPS
:	:
Tonight	NN
I	PRP
have	VBP
the	DT
honor	NN
of	IN
reporting	VBG
to	TO
you	PRP
on	IN
the	DT
State	NNP
of	IN
the	DT
Union	NNP
.	.
Let	VB
me	PRP
begin	VB
by	IN
saluting	VBG
the	DT
new	JJ
Speaker	NNP
of	IN
the	DT
House	NNP
and	CC
thanking	IN
him	PRP
especially	RB
tonight	RB
for	IN
extending	VBG
an	DT
invitation	NN
to	TO
two	CD
guests	NNS
sitting	VBG
in	IN
the	DT
gallery	NN
with	IN
Mrs.	NNP
Hastert	NNP
:	:
Lyn	NNP
Gibson	NNP
and	CC
Wenling	NNP
Chestnut	NNP
are	VBP
the	DT
widows	NNS
of	IN
the	DT
two	CD
brave	JJ
Capitol	NNP
Hill	NNP
police	NN
officers	NNS
who	WP
gave	VBD
their	PRP$
lives	NNS
to	TO
defend	VB
freedom	NN
's	POS
house	NN
.	.
Mr.	NNP
Speaker	NNP
,	,
at	IN
your	PRP$
swearing-in	NN
,	,
you	PRP
asked	VBD
us	PRP
all	DT
to	TO
work	VB
together	RB
in	IN
a	DT
spirit	NN
of	IN
civility	NN
and	CC
bipartisanship	NN
.	.
Mr.	NNP
Speaker	NNP
,	,
let	VB
's	PRP
do	VB
exactly	RB
that	DT
.	.
Tonight	RB
I	PRP
stand	VBP
before	IN
you	PRP
to	TO
report	VB
that	IN
America	NNP
has	VBZ
created	VBN
the	DT
longest	JJS
peacetime	NN
economic	JJ
expansion	NN
in	IN
our	PRP$
history	NN
with	IN
nearly	RB
18	CD
million	CD
new	JJ
jobs	NNS
,	,
wages	NNS
rising	VBG
at	IN
more	JJR
than	IN
twice	RB
the	DT
rate	NN
of	IN
inflation	NN
,	,
the	DT
highest	JJS
homeownership	NN
in	IN
history	NN
,	,
the	DT
smallest	JJS
welfare	NN
rolls	NNS
in	IN
30	CD
years	NNS
,	,
and	CC
the	DT
lowest	JJS
peacetime	NN
unemployment	NN
since	IN
1957.	CD
For	IN
the	DT
first	JJ
time	NN
in	IN
three	CD
decades	NNS
,	,
the	DT
budget	NN
is	VBZ
balanced	VBN
.	.
From	IN
a	DT
deficit	NN
of	IN
$	$
290	CD
billion	CD
in	IN
1992	CD
,	,
we	PRP
had	VBD
a	DT
surplus	NN
of	IN
$	$
70	CD
billion	CD
last	JJ
year	NN
.	.
And	CC
now	RB
we	PRP
are	VBP
on	IN
course	NN
for	IN
budget	NN
surpluses	NNS
for	IN
the	DT
next	JJ
25	CD
years	NNS
.	.
Thanks	NNS
to	TO
the	DT
pioneering	NN
leadership	NN
of	IN
all	DT
of	IN
you	PRP
,	,
we	PRP
have	VBP
the	DT
lowest	JJS
violent	JJ
crime	NN
rate	NN
in	IN
a	DT
quarter	NN
century	NN
and	CC
the	DT
cleanest	JJ
environment	NN
in	IN
a	DT
quarter	NN
century	NN
.	.
America	NNP
is	VBZ
a	DT
strong	JJ
force	NN
