token	pos
By	IN
continuing	VBG
to	TO
make	VB
these	DT
the	DT
rule	NN
of	IN
our	PRP$
action	NN
we	PRP
shall	MD
endear	VB
to	TO
our	PRP$
country-men	NNS
the	DT
true	JJ
principles	NNS
of	IN
their	PRP$
Constitution	NNP
and	CC
promote	VBP
an	DT
union	NN
of	IN
sentiment	NN
and	CC
of	IN
action	NN
equally	RB
auspicious	JJ
to	TO
their	PRP$
happiness	NN
and	CC
safety	NN
.	.
On	IN
my	PRP$
part	NN
,	,
you	PRP
may	MD
count	VB
on	IN
a	DT
cordial	JJ
concurrence	NN
in	IN
every	DT
measure	NN
for	IN
the	DT
public	JJ
good	JJ
and	CC
on	IN
all	DT
the	DT
information	NN
I	PRP
possess	VBP
which	WDT
may	MD
enable	VB
you	PRP
to	TO
discharge	VB
to	TO
advantage	VB
the	DT
high	JJ
functions	NNS
with	IN
which	WDT
you	PRP
are	VBP
invested	VBN
by	IN
your	PRP$
country	NN
.	.
To	TO
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
When	WRB
we	PRP
assemble	VBP
together	RB
,	,
fellow	JJ
citizens	NNS
,	,
to	TO
consider	VB
the	DT
state	NN
of	IN
our	PRP$
beloved	JJ
country	NN
,	,
our	PRP$
just	RB
attentions	NNS
are	VBP
first	RB
drawn	VBN
to	TO
those	DT
pleasing	JJ
circumstances	NNS
which	WDT
mark	VBP
the	DT
goodness	NN
of	IN
that	DT
Being	VBG
from	IN
whose	WP$
favor	NN
they	PRP
flow	VBP
and	CC
the	DT
large	JJ
measure	NN
of	IN
thankfulness	NN
we	PRP
owe	VBP
for	IN
His	PRP$
bounty	NN
.	.
Another	DT
year	NN
has	VBZ
come	VBN
around	RB
,	,
and	CC
finds	VBZ
us	PRP
still	RB
blessed	VBD
with	IN
peace	NN
and	CC
friendship	NN
abroad	RB
;	:
law	NN
,	,
order	NN
,	,
and	CC
religion	NN
at	IN
home	NN
;	:
good	JJ
affection	NN
and	CC
harmony	NN
with	IN
our	PRP$
Indian	JJ
neighbors	NNS
;	:
our	PRP$
burthens	NNS
lightened	VBN
,	,
yet	CC
our	PRP$
income	NN
sufficient	JJ
for	IN
the	DT
public	JJ
wants	NNS
,	,
and	CC
the	DT
produce	NN
of	IN
the	DT
year	NN
great	JJ
beyond	IN
example	NN
.	.
These	DT
,	,
fellow	JJ
citizens	NNS
,	,
are	VBP
the	DT
circumstances	NNS
under	IN
which	WDT
we	PRP
meet	VBP
,	,
and	CC
we	PRP
remark	VB
with	IN
special	JJ
satisfaction	NN
those	DT
which	WDT
under	IN
the	DT
smiles	NNS
of	IN
Providence	NNP
result	NN
from	IN
the	DT
skill	NN
,	,
industry	NN
,	,
and	CC
order	NN
of	IN
our	PRP$
citizens	NNS
,	,
managing	VBG
their	PRP$
own	JJ
affairs	NNS
in	IN
their	PRP$
own	JJ
way	NN
and	CC
for	IN
their	PRP$
own	JJ
use	NN
,	,
unembarrassed	JJ
by	IN
too	RB
much	JJ
regulation	NN
,	,
unoppressed	VBN
by	IN
fiscal	JJ
exactions	NNS
.	.
On	IN
the	DT
restoration	NN
of	IN
peace	NN
in	IN
Europe	NNP
that	IN
