token	pos
Mr.	NNP
Speaker	NNP
and	CC
Mr.	NNP
President	NNP
,	,
distinguished	VBD
Members	NNS
of	IN
Congress	NNP
,	,
honored	VBN
guests	NNS
,	,
and	CC
fellow	JJ
citizens	NNS
:	:
Thank	VB
you	PRP
very	RB
much	RB
for	IN
that	DT
warm	JJ
reception	NN
.	.
You	PRP
know	VBP
,	,
with	IN
the	DT
big	JJ
buildup	NN
this	DT
address	NN
has	VBZ
had	VBN
,	,
I	PRP
wanted	VBD
to	TO
make	VB
sure	JJ
it	PRP
would	MD
be	VB
a	DT
big	JJ
hit	NN
,	,
but	CC
I	PRP
could	MD
n't	RB
convince	VB
Barbara	NNP
to	TO
deliver	VB
it	PRP
for	IN
me	PRP
.	.
[	NN
Laughter	NNP
]	SYM
I	PRP
see	VBP
the	DT
Speaker	NNP
and	CC
the	DT
Vice	NNP
President	NNP
are	VBP
laughing	VBG
.	.
They	PRP
saw	VBD
what	WP
I	PRP
did	VBD
in	IN
Japan	NNP
,	,
and	CC
they	PRP
're	VBP
just	RB
happy	JJ
they	PRP
're	VBP
sitting	VBG
behind	IN
me	PRP
.	.
[	NN
Laughter	NNP
]	SYM
I	PRP
mean	VBP
to	TO
speak	VB
tonight	RB
of	IN
big	JJ
things	NNS
,	,
of	IN
big	JJ
changes	NNS
and	CC
the	DT
promises	NNS
they	PRP
hold	VBP
,	,
and	CC
of	IN
some	DT
big	JJ
problems	NNS
and	CC
how	WRB
,	,
together	RB
,	,
we	PRP
can	MD
solve	VB
them	PRP
and	CC
move	VB
our	PRP$
country	NN
forward	RB
as	IN
the	DT
undisputed	JJ
leader	NN
of	IN
the	DT
age	NN
.	.
We	PRP
gather	VBP
tonight	RB
at	IN
a	DT
dramatic	JJ
and	CC
deeply	RB
promising	JJ
time	NN
in	IN
our	PRP$
history	NN
and	CC
in	IN
the	DT
history	NN
of	IN
man	NN
on	IN
Earth	NNP
.	.
For	IN
in	IN
the	DT
past	JJ
12	CD
months	NNS
,	,
the	DT
world	NN
has	VBZ
known	VBN
changes	NNS
of	IN
almost	RB
Biblical	JJ
proportions	NNS
.	.
And	CC
even	RB
now	RB
,	,
months	NNS
after	IN
the	DT
failed	VBN
coup	NN
that	IN
doomed	VBN
a	DT
failed	VBD
system	NN
,	,
I	PRP
'm	VBP
not	RB
sure	RB
we	PRP
've	VBP
absorbed	VBN
the	DT
full	JJ
impact	NN
,	,
the	DT
full	JJ
import	NN
of	IN
what	WP
happened	VBD
.	.
But	CC
communism	NN
died	VBD
this	DT
year	NN
.	.
Even	RB
as	IN
President	NNP
,	,
with	IN
the	DT
most	JJS
fascinating	JJ
possible	JJ
vantage	NN
point	NN
,	,
there	EX
were	VBD
times	NNS
when	WRB
I	PRP
was	VBD
so	RB
busy	JJ
managing	VBG
progress	NN
and	CC
helping	VBG
to	TO
lead	VB
change	NN
that	IN
I	PRP
did	VBD
n't	RB
always	RB
show	VB
the	DT
joy	NN
that	WDT
was	VBD
in	IN
my	PRP$
heart	NN
.	.
But	CC
the	DT
biggest	JJS
thing	NN
that	WDT
has	VBZ
happened	VBN
in	IN
the	DT
world	NN
