token	pos
The	DT
Congress	NNP
assembles	NNS
this	DT
year	NN
under	IN
the	DT
shadow	NN
of	IN
a	DT
great	JJ
calamity	NN
.	.
On	IN
the	DT
sixth	JJ
of	IN
September	NNP
,	,
President	NNP
McKinley	NNP
was	VBD
shot	VBN
by	IN
an	DT
anarchist	NN
while	IN
attending	VBG
the	DT
Pan-American	NNP
Exposition	NNP
at	IN
Buffalo	NNP
,	,
and	CC
died	VBD
in	IN
that	DT
city	NN
on	IN
the	DT
fourteenth	JJ
of	IN
that	DT
month	NN
.	.
Of	IN
the	DT
last	JJ
seven	CD
elected	VBD
Presidents	NNS
,	,
he	PRP
is	VBZ
the	DT
third	JJ
who	WP
has	VBZ
been	VBN
murdered	VBN
,	,
and	CC
the	DT
bare	JJ
recital	NN
of	IN
this	DT
fact	NN
is	VBZ
sufficient	JJ
to	TO
justify	VB
grave	JJ
alarm	NN
among	IN
all	DT
loyal	JJ
American	JJ
citizens	NNS
.	.
Moreover	RB
,	,
the	DT
circumstances	NNS
of	IN
this	DT
,	,
the	DT
third	JJ
assassination	NN
of	IN
an	DT
American	NNP
President	NNP
,	,
have	VBP
a	DT
peculiarly	RB
sinister	JJ
significance	NN
.	.
Both	DT
President	NNP
Lincoln	NNP
and	CC
President	NNP
Garfield	NNP
were	VBD
killed	VBN
by	IN
assassins	NNS
of	IN
types	NNS
unfortunately	RB
not	RB
uncommon	JJ
in	IN
history	NN
;	:
President	NNP
Lincoln	NNP
falling	VBG
a	DT
victim	NN
to	TO
the	DT
terrible	JJ
passions	NNS
aroused	VBN
by	IN
four	CD
years	NNS
of	IN
civil	JJ
war	NN
,	,
and	CC
President	NNP
Garfield	NNP
to	TO
the	DT
revengeful	JJ
vanity	NN
of	IN
a	DT
disappointed	JJ
office-seeker	NN
.	.
President	NNP
McKinley	NNP
was	VBD
killed	VBN
by	IN
an	DT
utterly	RB
depraved	JJ
criminal	JJ
belonging	NN
to	TO
that	DT
body	NN
of	IN
criminals	NNS
who	WP
object	VBP
to	TO
all	DT
governments	NNS
,	,
good	JJ
and	CC
bad	JJ
alike	RB
,	,
who	WP
are	VBP
against	IN
any	DT
form	NN
of	IN
popular	JJ
liberty	NN
if	IN
it	PRP
is	VBZ
guaranteed	VBN
by	IN
even	RB
the	DT
most	RBS
just	RB
and	CC
liberal	JJ
laws	NNS
,	,
and	CC
who	WP
are	VBP
as	IN
hostile	JJ
to	TO
the	DT
upright	JJ
exponent	NN
of	IN
a	DT
free	JJ
people	NNS
's	POS
sober	JJ
will	NN
as	IN
to	TO
the	DT
tyrannical	JJ
and	CC
irresponsible	JJ
despot	NN
.	.
It	PRP
is	VBZ
not	RB
too	RB
much	JJ
to	TO
say	VB
that	IN
at	IN
the	DT
time	NN
of	IN
President	NNP
McKinley	NNP
's	POS
death	NN
he	PRP
was	VBD
the	DT
most	RBS
widely	RB
loved	VBN
man	NN
in	IN
all	PDT
