token	pos
The	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
of	IN
the	DT
United	NNP
States	NNP
:	:
At	IN
a	DT
moment	NN
when	WRB
the	DT
nations	NNS
of	IN
Europe	NNP
are	VBP
in	IN
commotion	NN
and	CC
arming	NN
against	IN
each	DT
other	JJ
,	,
and	CC
when	WRB
those	DT
with	IN
whom	WP
we	PRP
have	VBP
principal	JJ
intercourse	NN
are	VBP
engaged	VBN
in	IN
the	DT
general	JJ
contest	NN
,	,
and	CC
when	WRB
the	DT
countenance	NN
of	IN
some	DT
of	IN
them	PRP
toward	IN
our	PRP$
peaceable	JJ
country	NN
threatens	VBZ
that	IN
even	RB
that	DT
may	MD
not	RB
be	VB
unaffected	JJ
by	IN
what	WP
is	VBZ
passing	VBG
on	IN
the	DT
general	JJ
theater	NN
,	,
a	DT
meeting	NN
of	IN
the	DT
representatives	NNS
of	IN
the	DT
nation	NN
in	IN
both	DT
Houses	NNS
of	IN
Congress	NNP
has	VBZ
become	VBN
more	RBR
than	IN
usually	RB
desirable	JJ
.	.
Coming	VBG
from	IN
every	DT
section	NN
of	IN
our	PRP$
country	NN
,	,
they	PRP
bring	VBP
with	IN
them	PRP
the	DT
sentiments	NNS
and	CC
the	DT
information	NN
of	IN
the	DT
whole	JJ
,	,
and	CC
will	MD
be	VB
enabled	VBN
to	TO
give	VB
a	DT
direction	NN
to	TO
the	DT
public	JJ
affairs	NNS
which	WDT
the	DT
will	NN
and	CC
the	DT
wisdom	NN
of	IN
the	DT
whole	NN
will	MD
approve	VB
and	CC
support	VB
.	.
In	IN
taking	VBG
a	DT
view	NN
of	IN
the	DT
state	NN
of	IN
our	PRP$
country	NN
we	PRP
in	IN
the	DT
first	JJ
place	NN
notice	NN
the	DT
late	JJ
affliction	NN
of	IN
two	CD
of	IN
our	PRP$
cities	NNS
under	IN
the	DT
fatal	JJ
fever	NN
which	WDT
in	IN
latter	JJ
times	NNS
has	VBZ
occasionally	RB
visited	VBN
our	PRP$
shores	NNS
.	.
Providence	NNP
in	IN
His	PRP$
goodness	NN
gave	VBD
it	PRP
an	DT
early	JJ
termination	NN
on	IN
this	DT
occasion	NN
and	CC
lessened	VBD
the	DT
number	NN
of	IN
victims	NNS
which	WDT
have	VBP
usually	RB
fallen	VBN
before	IN
it	PRP
.	.
In	IN
the	DT
course	NN
of	IN
the	DT
several	JJ
visitations	NNS
