token	pos
I	PRP
repeat	VBP
the	DT
expression	NN
of	IN
my	PRP$
willingness	NN
to	TO
join	VB
in	IN
any	DT
plan	NN
within	IN
the	DT
scope	NN
of	IN
our	PRP$
constitutional	JJ
authority	NN
which	WDT
promises	VBZ
to	TO
better	JJR
the	DT
condition	NN
of	IN
the	DT
Negroes	NNPS
in	IN
the	DT
South	NNP
,	,
by	IN
encouraging	VBG
them	PRP
in	IN
industry	NN
,	,
enlightening	VBG
their	PRP$
minds	NNS
,	,
improving	VBG
their	PRP$
morals	NNS
,	,
and	CC
giving	VBG
protection	NN
to	TO
all	DT
their	PRP$
just	RB
rights	NNS
as	IN
freedmen	NNS
.	.
But	CC
the	DT
transfer	NN
of	IN
our	PRP$
political	JJ
inheritance	NN
to	TO
them	PRP
would	MD
,	,
in	IN
my	PRP$
opinion	NN
,	,
be	VB
an	DT
abandonment	NN
of	IN
a	DT
duty	NN
which	WDT
we	PRP
owe	VBP
alike	RB
to	TO
the	DT
memory	NN
of	IN
our	PRP$
fathers	NNS
and	CC
the	DT
rights	NNS
of	IN
our	PRP$
children	NNS
.	.
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
The	DT
continued	JJ
disorganization	NN
of	IN
the	DT
Union	NNP
,	,
to	TO
which	WDT
the	DT
President	NNP
has	VBZ
so	RB
often	RB
called	VBD
the	DT
attention	NN
of	IN
Congress	NNP
,	,
is	VBZ
yet	RB
a	DT
subject	NN
of	IN
profound	JJ
and	CC
patriotic	JJ
concern	NN
.	.
We	PRP
may	MD
,	,
however	RB
,	,
find	VBP
some	DT
relief	NN
from	IN
that	DT
anxiety	NN
in	IN
the	DT
reflection	NN
that	IN
the	DT
painful	JJ
political	JJ
situation	NN
,	,
although	IN
before	IN
untried	JJ
by	IN
ourselves	PRP
,	,
is	VBZ
not	RB
new	JJ
in	IN
the	DT
experience	NN
of	IN
nations	NNS
.	.
Political	JJ
science	NN
,	,
perhaps	RB
as	IN
highly	RB
perfected	VBN
in	IN
our	PRP$
own	JJ
time	NN
and	CC
country	NN
as	IN
in	IN
any	DT
other	JJ
,	,
has	VBZ
not	RB
yet	RB
disclosed	VBN
any	DT
means	NNS
by	IN
which	WDT
civil	JJ
wars	NNS
can	MD
be	VB
absolutely	RB
prevented	VBN
.	.
An	DT
enlightened	JJ
nation	NN
,	,
however	RB
,	,
with	IN
a	DT
wise	JJ
and	CC
beneficent	JJ
constitution	NN
of	IN
free	JJ
government	NN
,	,
may	MD
diminish	VB
their	PRP$
frequency	NN
and	CC
mitigate	VB
their	PRP$
severity	NN
by	IN
directing	VBG
all	DT
its	PRP$
proceedings	NNS
in	IN
accordance	NN
with	IN
its	PRP$
fundamental	JJ
law	NN
.	.
When	WRB
a	DT
civil	JJ
war	NN
has	VBZ
been	VBN
brought	VBN
to	TO
a	DT
close	NN
,	,
it	PRP
is	VBZ
manifestly	RB
the	DT
first	JJ
interest	NN
and	CC
duty	NN
of	IN
the	DT
state	NN
to	TO
repair	VB
the	DT
injuries	NNS
which	WDT
the	DT
war	NN
has	VBZ
inflicted	VBN
,	,
and	CC
to	TO
secure	VB
the	DT
benefit	NN
of	IN
the	DT
lessons	NNS
it	PRP
teaches	VBZ
as	IN
fully	RB
and	CC
as	RB
speedily	RB
as	IN
possible	JJ
.	.
This	DT
duty	NN
was	VBD
,	,
upon	IN
the	DT
termination	NN
of	IN
the	DT
rebellion	NN
,	,
promptly	RB
accepted	VBD
not	RB
only	RB
by	IN
the	DT
executive	NN
department	NN
,	,
but	CC
by	IN
the	DT
insurrectionary	JJ
States	NNS
themselves	PRP
,	,
and	CC
restoration	NN
in	IN
the	DT
first	JJ
moment	NN
of	IN
peace	NN
was	VBD
believed	VBN
to	TO
be	VB
as	IN
easy	JJ
and	CC
certain	JJ
as	IN
it	PRP
was	VBD
indispensable	JJ
.	.
The	DT
expectations	NNS
,	,
however	RB
,	,
then	RB
so	RB
reasonably	RB
and	CC
confidently	RB
entertained	VBN
were	VBD
disappointed	VBN
by	IN
legislation	NN
from	IN
which	WDT
I	PRP
felt	VBD
constrained	VBN
by	IN
my	PRP$
obligations	NNS
to	TO
the	DT
Constitution	NNP
to	TO
withhold	VB
my	PRP$
assent	NN
.	.
It	PRP
is	VBZ
therefore	RB
a	DT
source	NN
of	IN
profound	JJ
regret	NN
that	IN
in	IN
complying	VBG
with	IN
the	DT
obligation	NN
imposed	VBN
upon	IN
the	DT
President	NNP
by	IN
the	DT
Constitution	NNP
to	TO
give	VB
to	TO
Congress	NNP
from	IN
time	NN
to	TO
time	NN
information	NN
of	IN
the	DT
state	NN
of	IN
the	DT
Union	NNP
I	PRP
am	VBP
unable	JJ
to	TO
communicate	VB
any	DT
definitive	JJ
adjustment	NN
satisfactory	JJ
to	TO
the	DT
American	JJ
people	NNS
,	,
of	IN
the	DT
questions	NNS
which	WDT
since	IN
the	DT
close	NN
of	IN
the	DT
rebellion	NN
have	VBP
agitated	VBN
the	DT
public	JJ
mind	NN
.	.
On	IN
the	DT
contrary	NN
,	,
candor	NN
compels	VBZ
me	PRP
to	TO
declare	VB
that	IN
at	IN
this	DT
time	NN
there	EX
is	VBZ
no	DT
Union	NNP
as	IN
our	PRP$
fathers	NNS
understood	VBN
the	DT
term	NN
,	,
and	CC
as	IN
