token	pos
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
In	IN
reviewing	VBG
the	DT
present	JJ
state	NN
of	IN
our	PRP$
country	NN
,	,
our	PRP$
attention	NN
cannot	MD
be	VB
withheld	VBN
from	IN
the	DT
effect	NN
produced	VBN
by	IN
peculiar	JJ
seasons	NNS
which	WDT
have	VBP
very	RB
generally	RB
impaired	VBN
the	DT
annual	JJ
gifts	NNS
of	IN
the	DT
earth	NN
and	CC
threatened	VBD
scarcity	NN
in	IN
particular	JJ
districts	NNS
.	.
Such	JJ
,	,
however	RB
,	,
is	VBZ
the	DT
variety	NN
of	IN
soils	NNS
,	,
of	IN
climates	NNS
,	,
and	CC
of	IN
products	NNS
within	IN
our	PRP$
extensive	JJ
limits	NNS
that	IN
the	DT
aggregate	JJ
resources	NNS
for	IN
subsistence	NN
are	VBP
more	RBR
than	IN
sufficient	JJ
for	IN
the	DT
aggregate	NN
wants	VBZ
.	.
And	CC
as	RB
far	RB
as	IN
an	DT
economy	NN
of	IN
consumption	NN
,	,
more	JJR
than	IN
usual	JJ
,	,
may	MD
be	VB
necessary	JJ
,	,
our	PRP$
thankfulness	NN
is	VBZ
due	JJ
to	TO
Providence	NNP
for	IN
what	WP
is	VBZ
far	RB
more	JJR
than	IN
a	DT
compensation	NN
,	,
in	IN
the	DT
remarkable	JJ
health	NN
which	WDT
has	VBZ
distinguished	VBN
the	DT
present	JJ
year	NN
.	.
Amidst	IN
the	DT
advantages	NNS
which	WDT
have	VBP
succeeded	VBN
the	DT
peace	NN
of	IN
Europe	NNP
,	,
and	CC
that	IN
of	IN
the	DT
United	NNP
States	NNP
with	IN
Great	NNP
Britain	NNP
,	,
in	IN
a	DT
general	JJ
invigoration	NN
of	IN
industry	NN
among	IN
us	PRP
and	CC
in	IN
the	DT
extension	NN
of	IN
our	PRP$
commerce	NN
,	,
the	DT
value	NN
of	IN
which	WDT
is	VBZ
more	RBR
and	CC
more	RBR
disclosing	VBG
itself	PRP
to	TO
commercial	JJ
nations	NNS
,	,
it	PRP
is	VBZ
to	TO
be	VB
regretted	VBN
that	IN
a	DT
depression	NN
is	VBZ
experienced	VBN
by	IN
particular	JJ
branches	NNS
of	IN
our	PRP$
manufactures	VBZ
and	CC
by	IN
a	DT
portion	NN
of	IN
our	PRP$
navigation	NN
.	.
As	IN
the	DT
first	JJ
proceeds	NNS
in	IN
an	DT
essential	JJ
degree	NN
from	IN
an	DT
excess	NN
of	IN
imported	JJ
merchandise	NN
,	,
which	WDT
carries	VBZ
a	DT
check	NN
in	IN
its	PRP$
own	JJ
tendency	NN
,	,
the	DT
cause	NN
in	IN
its	PRP$
present	JJ
extent	NN
can	MD
not	RB
be	VB
very	RB
long	RB
in	IN
duration	NN
.	.
The	DT
evil	NN
will	MD
not	RB
,	,
however	RB
,	,
be	VB
viewed	VBN
by	IN
Congress	NNP
without	IN
a	DT
recollection	NN
that	IN
manufacturing	VBG
establishments	NNS
,	,
if	IN
suffered	VBN
to	TO
sink	VB
too	RB
low	JJ
or	CC
languish	VB
too	RB
long	JJ
,	,
may	MD
not	RB
revive	VB
after	IN
the	DT
causes	NNS
shall	MD
have	VB
ceased	VBN
,	,
and	CC
that	IN
in	IN
the	DT
vicissitudes	NNS
of	IN
human	JJ
affairs	NNS
situations	NNS
may	MD
recur	VB
in	IN
which	WDT
a	DT
dependence	NN
on	IN
foreign	JJ
sources	NNS
for	IN
indispensable	JJ
supplies	NNS
may	MD
be	VB
among	IN
the	DT
most	RBS
serious	JJ
embarrassments	NNS
.	.
The	DT
depressed	JJ
state	NN
of	IN
our	PRP$
navigation	NN
is	VBZ
to	TO
be	VB
ascribed	VBN
in	IN
a	DT
material	NN
degree	NN
to	TO
its	PRP$
exclusion	NN
from	IN
the	DT
colonial	JJ
ports	NNS
of	IN
the	DT
nation	NN
most	RBS
extensively	RB
connected	VBN
with	IN
us	PRP
in	IN
commerce	NN
,	,
and	CC
from	IN
the	DT
indirect	JJ
operation	NN
of	IN
that	DT
exclusion	NN
.	.
Previous	JJ
to	TO
the	DT
late	JJ
convention	NN
at	IN
London	NNP
between	IN
the	DT
United	NNP
States	NNP
and	CC
Great	NNP
Britain	NNP
the	DT
relative	JJ
state	NN
of	IN
the	DT
navigation	NN
laws	NNS
of	IN
the	DT
two	CD
countries	NNS
,	,
growing	VBG
out	IN
of	IN
the	DT
treaty	NN
of	IN
1794	CD
,	,
had	VBD
given	VBN
to	TO
the	DT
British	NNP
navigation	NN
a	DT
material	NN
advantage	NN
over	IN
the	DT
American	NNP
in	IN
the	DT
intercourse	NN
between	IN
the	DT
American	NNP
ports	NNS
and	CC
British	JJ
ports	NNS
in	IN
Europe	NNP
.	.
The	DT
convention	NN
of	IN
London	NNP
equalized	VBD
the	DT
laws	NNS
of	IN
the	DT
two	CD
countries	NNS
relating	VBG
to	TO
those	DT
ports	NNS
,	,
leaving	VBG
the	DT
intercourse	NN
between	IN
our	PRP$
ports	NNS
and	CC
the	DT
ports	NNS
of	IN
the	DT
British	JJ
colonies	NNS
subject	NN
,	,
as	IN
before	RB
,	,
to	TO
the	DT
respective	JJ
regulations	NNS
of	IN
the	DT
parties	NNS
.	.
The	DT
British	NNP
Government	NNP
enforcing	VBG
now	RB
regulations	NNS
which	WDT
prohibit	VBP
a	DT
trade	NN
between	IN
its	PRP$
colonies	NNS
and	CC
the	DT
United	NNP
States	NNPS
in	IN
American	NNP
vessels	NNS
,	,
whilst	IN
they	PRP
permit	VBP
a	DT
trade	NN
in	IN
British	JJ
vessels	NNS
,	,
the	DT
American	NNP
navigation	NN
loses	VBZ
accordingly	RB
,	,
and	CC
the	DT
loss	NN
is	VBZ
augmented	VBN
by	IN
the	DT
advantage	NN
which	WDT
is	VBZ
given	VBN
to	TO
the	DT
British	JJ
competition	NN
over	IN
the	DT
American	NNP
in	IN
the	DT
navigation	NN
between	IN
our	PRP$
ports	NNS
and	CC
British	JJ
ports	NNS
in	IN
Europe	NNP
by	IN
the	DT
circuitous	JJ
voyages	NNS
enjoyed	VBN
by	IN
the	DT
one	NN
and	CC
not	RB
enjoyed	VBN
by	IN
the	DT
other	JJ
.	.
The	DT
reasonableness	NN
of	IN
the	DT
rule	NN
of	IN
reciprocity	NN
applied	VBD
to	TO
one	CD
branch	NN
of	IN
the	DT
commercial	JJ
intercourse	NN
has	VBZ
been	VBN
pressed	VBN
on	IN
our	PRP$
part	NN
as	IN
equally	RB
applicable	JJ
to	TO
both	DT
branches	NNS
;	:
but	CC
it	PRP
is	VBZ
ascertained	VBN
that	IN
the	DT
British	JJ
cabinet	NN
declines	VBZ
all	DT
negotiation	NN
on	IN
the	DT
subject	NN
,	,
with	IN
a	DT
disavowal	NN
,	,
however	RB
,	,
of	IN
any	DT
disposition	NN
to	TO
view	VB
in	IN
an	DT
unfriendly	JJ
light	NN
whatever	WDT
countervailing	VBG
regulations	NNS
the	DT
United	NNP
States	NNPS
may	MD
oppose	VB
to	TO
the	DT
regulations	NNS
of	IN
which	WDT
they	PRP
complain	VBP
.	.
The	DT
wisdom	NN
of	IN
the	DT
Legislature	NNP
will	MD
decide	VB
on	IN
the	DT
course	NN
which	WDT
,	,
under	IN
these	DT
circumstances	NNS
,	,
is	VBZ
prescribed	VBN
by	IN
a	DT
joint	JJ
regard	NN
to	TO
the	DT
amicable	JJ
relations	NNS
between	IN
the	DT
two	CD
nations	NNS
and	CC
to	TO
the	DT
just	JJ
interests	NNS
of	IN
the	DT
United	NNP
States	NNP
.	.
I	PRP
have	VBP
the	DT
satisfaction	NN
to	TO
state	NN
,	,
generally	RB
,	,
that	IN
we	PRP
remain	VBP
in	IN
amity	NN
with	IN
foreign	JJ
powers	NNS
.	.
An	DT
occurrence	NN
has	VBZ
indeed	RB
taken	VBN
place	NN
in	IN
the	DT
Gulf	NNP
of	IN
Mexico	NNP
which	WDT
,	,
if	IN
sanctioned	VBN
by	IN
the	DT
Spanish	NNP
Government	NNP
,	,
may	MD
make	VB
an	DT
exception	NN
as	IN
to	TO
that	DT
power	NN
.	.
According	VBG
to	TO
the	DT
report	NN
of	IN
our	PRP$
naval	JJ
commander	NN
on	IN
that	DT
station	NN
,	,
one	CD
of	IN
our	PRP$
public	JJ
armed	JJ
vessels	NNS
was	VBD
attacked	VBN
by	IN
an	DT
over-powering	JJ
force	NN
under	IN
a	DT
Spanish	JJ
commander	NN
,	,
and	CC
the	DT
American	JJ
flag	NN
,	,
with	IN
the	DT
officers	NNS
and	CC
crew	NN
,	,
insulted	VBN
in	IN
a	DT
manner	NN
calling	VBG
for	IN
prompt	JJ
reparation	NN
.	.
This	DT
has	VBZ
been	VBN
demanded	VBN
.	.
In	IN
the	DT
mean	JJ
time	NN
a	DT
frigate	NN
and	CC
a	DT
smaller	JJR
vessel	NN
of	IN
war	NN
have	VBP
been	VBN
ordered	VBN
into	IN
that	DT
Gulf	NNP
for	IN
the	DT
protection	NN
of	IN
our	PRP$
commerce	NN
.	.
It	PRP
would	MD
be	VB
improper	JJ
to	TO
omit	VB
that	IN
the	DT
representative	NN
of	IN
His	PRP$
Catholic	NNP
Majesty	NNP
in	IN
the	DT
United	NNP
States	NNPS
lost	VBD
no	DT
time	NN
in	IN
giving	VBG
the	DT
strongest	JJS
assurances	NNS
that	IN
no	DT
hostile	JJ
order	NN
could	MD
have	VB
emanated	VBN
from	IN
his	PRP$
Government	NN
,	,
and	CC
that	IN
it	PRP
will	MD
be	VB
as	RB
ready	JJ
to	TO
do	VB
as	IN
to	TO
expect	VB
whatever	WDT
the	DT
nature	NN
of	IN
the	DT
case	NN
and	CC
the	DT
friendly	JJ
relations	NNS
of	IN
the	DT
two	CD
countries	NNS
shall	MD
be	VB
found	VBN
to	TO
require	VB
.	.
The	DT
posture	NN
of	IN
our	PRP$
affairs	NNS
with	IN
Algiers	NNP
at	IN
the	DT
present	JJ
moment	NN
is	VBZ
not	RB
known	VBN
.	.
The	DT
Day	NNP
,	,
drawing	VBG
pretexts	NNS
from	IN
circumstances	NNS
for	IN
which	WDT
the	DT
United	NNP
States	NNPS
were	VBD
not	RB
answerable	JJ
,	,
addressed	VBD
a	DT
letter	NN
to	TO
this	DT
Government	NN
declaring	VBG
the	DT
treaty	NN
last	JJ
concluded	VBD
with	IN
him	PRP
to	TO
have	VB
been	VBN
annulled	VBN
by	IN
our	PRP$
violation	NN
of	IN
it	PRP
,	,
and	CC
presenting	VBG
as	IN
the	DT
alternative	JJ
war	NN
or	CC
a	DT
renewal	NN
of	IN
the	DT
former	JJ
treaty	NN
,	,
which	WDT
stipulated	VBD
,	,
among	IN
other	JJ
things	NNS
,	,
an	DT
annual	JJ
tribute	NN
.	.
The	DT
answer	NN
,	,
with	IN
an	DT
explicit	JJ
declaration	NN
that	IN
the	DT
United	NNP
States	NNPS
preferred	VBD
war	NN
to	TO
tribute	NN
,	,
required	VBD
his	PRP$
recognition	NN
