token	pos
To	TO
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
In	IN
addressing	VBG
my	PRP$
third	JJ
annual	JJ
message	NN
to	TO
the	DT
law-making	JJ
branch	NN
of	IN
the	DT
Government	NN
it	PRP
is	VBZ
gratifying	VBG
to	TO
be	VB
able	JJ
to	TO
state	VB
that	IN
during	IN
the	DT
past	JJ
year	NN
success	NN
has	VBZ
generally	RB
attended	VBN
the	DT
effort	NN
to	TO
execute	VB
all	DT
laws	NNS
found	VBD
upon	IN
the	DT
statute	NN
books	NNS
.	.
The	DT
policy	NN
has	VBZ
been	VBN
not	RB
to	TO
inquire	VB
into	IN
the	DT
wisdom	NN
of	IN
laws	NNS
already	RB
enacted	VBN
,	,
but	CC
to	TO
learn	VB
their	PRP$
spirit	NN
and	CC
intent	NN
and	CC
to	TO
enforce	VB
them	PRP
accordingly	RB
.	.
The	DT
past	JJ
year	NN
has	VBZ
,	,
under	IN
a	DT
wise	JJ
Providence	NNP
,	,
been	VBN
one	CD
of	IN
general	JJ
prosperity	NN
to	TO
the	DT
nation	NN
.	.
It	PRP
has	VBZ
,	,
however	RB
,	,
been	VBN
attended	VBN
with	IN
more	JJR
than	IN
usual	JJ
chastisements	NNS
in	IN
the	DT
loss	NN
of	IN
life	NN
and	CC
property	NN
by	IN
storm	NN
and	CC
fire	NN
.	.
These	DT
disasters	NNS
have	VBP
served	VBN
to	TO
call	VB
forth	RB
the	DT
best	JJS
elements	NNS
of	IN
human	NN
nature	NN
in	IN
our	PRP$
country	NN
and	CC
to	TO
develop	VB
a	DT
friendship	NN
for	IN
us	PRP
on	IN
the	DT
part	NN
of	IN
foreign	JJ
nations	NNS
which	WDT
goes	VBZ
far	RB
toward	IN
alleviating	VBG
the	DT
distresses	NNS
occasioned	VBN
by	IN
these	DT
calamities	NNS
.	.
The	DT
benevolent	JJ
,	,
who	WP
have	VBP
so	RB
generously	RB
shared	VBN
their	PRP$
means	NNS
with	IN
the	DT
victims	NNS
of	IN
these	DT
misfortunes	NNS
,	,
will	MD
reap	VB
their	PRP$
reward	NN
in	IN
the	DT
consciousness	NN
of	IN
having	VBG
performed	VBN
a	DT
noble	JJ
act	NN
and	CC
in	IN
receiving	VBG
the	DT
grateful	JJ
thanks	NNS
of	IN
men	NNS
,	,
women	NNS
,	,
and	CC
children	NNS
whose	WP$
sufferings	NNS
they	PRP
have	VBP
relieved	VBN
.	.
The	DT
relations	NNS
of	IN
the	DT
United	NNP
States	NNPS
with	IN
foreign	JJ
powers	NNS
continue	VBP
to	TO
be	VB
friendly	JJ
