token	pos
Mr.	NNP
Speaker	NNP
,	,
Mr.	NNP
President	NNP
,	,
distinguished	VBD
Members	NNS
of	IN
the	DT
Congress	NNP
,	,
honored	VBN
guests	NNS
,	,
and	CC
fellow	JJ
citizens	NNS
:	:
Once	RB
again	RB
,	,
in	IN
keeping	VBG
with	IN
time-honored	JJ
tradition	NN
,	,
I	PRP
have	VBP
come	VBN
to	TO
report	VB
to	TO
you	PRP
on	IN
the	DT
state	NN
of	IN
the	DT
Union	NNP
,	,
and	CC
I	PRP
'm	VBP
pleased	JJ
to	TO
report	VB
that	IN
America	NNP
is	VBZ
much	RB
improved	VBN
,	,
and	CC
there	EX
's	VBZ
good	JJ
reason	NN
to	TO
believe	VB
that	DT
improvement	NN
will	MD
continue	VB
through	IN
the	DT
days	NNS
to	TO
come	VB
.	.
You	PRP
and	CC
I	PRP
have	VBP
had	VBD
some	DT
honest	JJ
and	CC
open	JJ
differences	NNS
in	IN
the	DT
year	NN
past	NN
.	.
But	CC
they	PRP
did	VBD
n't	RB
keep	VB
us	PRP
from	IN
joining	VBG
hands	NNS
in	IN
bipartisan	JJ
cooperation	NN
to	TO
stop	VB
a	DT
long	JJ
decline	NN
that	WDT
had	VBD
drained	VBN
this	DT
nation	NN
's	POS
spirit	NN
and	CC
eroded	VBD
its	PRP$
health	NN
.	.
There	EX
is	VBZ
renewed	VBN
energy	NN
and	CC
optimism	NN
throughout	IN
the	DT
land	NN
.	.
America	NNP
is	VBZ
back	RB
,	,
standing	VBG
tall	JJ
,	,
looking	VBG
to	TO
the	DT
eighties	NNS
with	IN
courage	NN
,	,
confidence	NN
,	,
and	CC
hope	NN
.	.
The	DT
problems	NNS
we	PRP
're	VBP
overcoming	VBG
are	VBP
not	RB
the	DT
heritage	NN
of	IN
one	CD
person	NN
,	,
party	NN
,	,
or	CC
even	RB
one	CD
generation	NN
.	.
It	PRP
's	VBZ
just	RB
the	DT
tendency	NN
of	IN
government	NN
to	TO
grow	VB
,	,
for	IN
practices	NNS
and	CC
programs	NNS
to	TO
become	VB
the	DT
nearest	JJS
thing	NN
to	TO
eternal	JJ
life	NN
we	PRP
'll	MD
ever	RB
see	VB
on	IN
this	DT
Earth	NN
.	.
[	NN
Laughter	NNP
]	SYM
And	CC
there	EX
's	VBZ
always	RB
that	DT
well-intentioned	JJ
chorus	NN
of	IN
voices	NNS
saying	VBG
,	,
"	``
With	IN
a	DT
little	RB
more	JJR
power	NN
and	CC
a	DT
little	RB
more	JJR
money	NN
,	,
we	PRP
could	MD
do	VB
so	RB
much	RB
for	IN
the	DT
people	NNS
.	.
"	''
For	IN
a	DT
time	NN
we	PRP
forgot	VBD
the	DT
American	NNP
dream	NN
is	VBZ
n't	RB
one	CD
of	IN
making	VBG
government	NN
bigger	JJR
;	:
it	PRP
's	VBZ
keeping	VBG
faith	NN
with	IN
the	DT
mighty	JJ
spirit	NN
of	IN
free	JJ
people	NNS
under	IN
God	NNP
.	.
As	IN
we	PRP
came	VBD
to	TO
the	DT
decade	NN
of	IN
the	DT
eighties	NNS
,	,
we	PRP
faced	VBD
the	DT
worst	JJS
crisis	NN
