token	pos
The	DT
Indian	JJ
tribes	NNS
upon	IN
our	PRP$
frontiers	NNS
have	VBP
during	IN
the	DT
past	JJ
year	NN
manifested	VBD
a	DT
spirit	NN
of	IN
insubordination	NN
,	,
and	CC
at	IN
several	JJ
points	NNS
have	VBP
engaged	VBN
in	IN
open	JJ
hostilities	NNS
against	IN
the	DT
white	JJ
settlements	NNS
in	IN
their	PRP$
vicinity	NN
.	.
The	DT
tribes	NNS
occupying	VBG
the	DT
Indian	JJ
country	NN
south	RB
of	IN
Kansas	NNP
renounced	VBD
their	PRP$
allegiance	NN
to	TO
the	DT
United	NNP
States	NNPS
and	CC
entered	VBD
into	IN
treaties	NNS
with	IN
the	DT
insurgents	NNS
.	.
Those	DT
who	WP
remained	VBD
loyal	JJ
to	TO
the	DT
United	NNP
States	NNPS
were	VBD
driven	VBN
from	IN
the	DT
country	NN
.	.
The	DT
chief	NN
of	IN
the	DT
Cherokees	NNP
has	VBZ
visited	VBN
this	DT
city	NN
for	IN
the	DT
purpose	NN
of	IN
restoring	VBG
the	DT
former	JJ
relations	NNS
of	IN
the	DT
tribe	NN
with	IN
the	DT
United	NNP
States	NNP
.	.
He	PRP
alleges	VBZ
that	IN
they	PRP
were	VBD
constrained	VBN
by	IN
superior	JJ
force	NN
to	TO
enter	VB
into	IN
treaties	NNS
with	IN
the	DT
insurgents	NNS
,	,
and	CC
that	IN
the	DT
United	NNP
States	NNP
neglected	VBD
to	TO
furnish	VB
the	DT
protection	NN
which	WDT
their	PRP$
treaty	NN
stipulations	NNS
required	VBD
.	.
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
Since	IN
your	PRP$
last	JJ
annual	JJ
assembling	NN
another	DT
year	NN
of	IN
health	NN
and	CC
bountiful	JJ
harvests	NNS
has	VBZ
passed	VBN
,	,
and	CC
while	IN
it	PRP
has	VBZ
not	RB
pleased	VBN
the	DT
Almighty	NNP
to	TO
bless	VB
us	PRP
with	IN
a	DT
return	NN
of	IN
peace	NN
,	,
we	PRP
can	MD
but	CC
press	NN
on	IN
,	,
guided	VBN
by	IN
the	DT
best	JJS
light	NN
He	PRP
gives	VBZ
us	PRP
,	,
trusting	VBG
that	IN
in	IN
His	PRP$
own	JJ
good	JJ
time	NN
and	CC
wise	JJ
way	NN
all	DT
will	MD
yet	RB
be	VB
well	RB
.	.
The	DT
correspondence	NN
touching	VBG
foreign	JJ
affairs	NNS
which	WDT
has	VBZ
taken	VBN
place	NN
during	IN
the	DT
last	JJ
year	NN
is	VBZ
herewith	IN
submitted	VBN
,	,
in	IN
virtual	JJ
compliance	NN
with	IN
a	DT
request	NN
to	TO
that	DT
effect	NN
made	VBN
by	IN
the	DT
House	NNP
of	IN
Representatives	NNPS
near	IN
the	DT
close	NN
of	IN
the	DT
last	JJ
session	NN
of	IN
Congress	NNP
.	.
If	IN
the	DT
condition	NN
of	IN
our	PRP$
relations	NNS
with	IN
other	JJ
nations	NNS
is	VBZ
less	RBR
gratifying	JJ
than	IN
it	PRP
has	VBZ
usually	RB
been	VBN
at	IN
former	JJ
periods	NNS
