token	pos
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
Our	PRP$
devout	NN
gratitude	NN
is	VBZ
due	JJ
to	TO
the	DT
Supreme	NNP
Being	VBG
for	IN
having	VBG
graciously	NN
continued	VBD
to	TO
our	PRP$
beloved	JJ
country	NN
through	IN
the	DT
vicissitudes	NNS
of	IN
another	DT
year	NN
the	DT
invaluable	JJ
blessings	NNS
of	IN
health	NN
,	,
plenty	NN
,	,
and	CC
peace	NN
.	.
Seldom	RB
has	VBZ
this	DT
favored	JJ
land	NN
been	VBN
so	RB
generally	RB
exempted	VBN
from	IN
the	DT
ravages	NNS
of	IN
disease	NN
or	CC
the	DT
labor	NN
of	IN
the	DT
husbandman	NN
more	RBR
amply	RB
rewarded	VBN
,	,
and	CC
never	RB
before	RB
have	VBP
our	PRP$
relations	NNS
with	IN
other	JJ
countries	NNS
been	VBN
placed	VBN
on	IN
a	DT
more	RBR
favorable	JJ
basis	NN
than	IN
that	IN
which	WDT
they	PRP
so	RB
happily	RB
occupy	VB
at	IN
this	DT
critical	JJ
conjuncture	NN
in	IN
the	DT
affairs	NNS
of	IN
the	DT
world	NN
.	.
A	DT
rigid	JJ
and	CC
persevering	JJ
abstinence	NN
from	IN
all	DT
interference	NN
with	IN
the	DT
domestic	JJ
and	CC
political	JJ
relations	NNS
of	IN
other	JJ
States	NNS
,	,
alike	RB
due	JJ
to	TO
the	DT
genius	NN
and	CC
distinctive	JJ
character	NN
of	IN
our	PRP$
Government	NN
and	CC
to	TO
the	DT
principles	NNS
by	IN
which	WDT
it	PRP
is	VBZ
directed	VBN
;	:
a	DT
faithful	NN
observance	NN
in	IN
the	DT
management	NN
of	IN
our	PRP$
foreign	JJ
relations	NNS
of	IN
the	DT
practice	NN
of	IN
speaking	VBG
plainly	RB
,	,
dealing	VBG
justly	RB
,	,
and	CC
requiring	VBG
truth	NN
and	CC
justice	NN
in	IN
return	NN
as	IN
the	DT
best	JJS
conservatives	NNS
of	IN
the	DT
peace	NN
of	IN
nations	NNS
;	:
a	DT
strict	JJ
impartiality	NN
in	IN
our	PRP$
manifestations	NNS
of	IN
friendship	NN
in	IN
the	DT
commercial	JJ
privileges	NNS
we	PRP
concede	VBP
and	CC
those	DT
we	PRP
require	VBP
from	IN
others--these	JJ
,	,
accompanied	VBN
by	IN
a	DT
disposition	NN
as	IN
prompt	JJ
to	TO
maintain	VB
in	IN
every	DT
emergency	NN
our	PRP$
own	JJ
rights	NNS
as	IN
we	PRP
are	VBP
from	IN
principle	NN
averse	JJ
to	TO
the	DT
invasion	NN
of	IN
those	DT
of	IN
others	NNS
,	,
have	VBP
given	VBN
to	TO
our	PRP$
country	NN
and	CC
Government	NN
a	DT
standing	NN
in	IN
the	DT
great	JJ
family	NN
of	IN
nations	NNS
of	IN
which	WDT
we	PRP
have	VBP
just	RB
cause	VB
to	TO
be	VB
proud	JJ
and	CC
the	DT
advantages	NNS
of	IN
which	WDT
are	VBP
experienced	VBN
by	IN
our	PRP$
citizens	NNS
throughout	IN
every	DT
portion	NN
of	IN
the	DT
earth	NN
to	TO
which	WDT
their	PRP$
enterprising	NN
and	CC
adventurous	JJ
spirit	NN
may	MD
carry	VB
them	PRP
.	.
Few	JJ
,	,
if	IN
any	DT
,	,
remain	VB
insensible	JJ
to	TO
the	DT
value	NN
of	IN
our	PRP$
friendship	NN
or	CC
ignorant	JJ
of	IN
the	DT
terms	NNS
on	IN
which	WDT
it	PRP
can	MD
be	VB
acquired	VBN
and	CC
by	IN
which	WDT
it	PRP
can	MD
alone	RB
be	VB
preserved	VBN
.	.
A	DT
series	NN
of	IN
questions	NNS
of	IN
long	JJ
standing	NN
,	,
difficult	JJ
in	IN
their	PRP$
adjustment	NN
and	CC
important	JJ
in	IN
their	PRP$
consequences	NNS
,	,
in	IN
which	WDT
the	DT
rights	NNS
of	IN
our	PRP$
citizens	NNS
and	CC
the	DT
honor	NN
of	IN
the	DT
country	NN
were	VBD
deeply	RB
involved	VBN
,	,
have	VBP
in	IN
the	DT
course	NN
of	IN
a	DT
few	JJ
years	NNS
(	-LRB-
the	DT
most	JJS
of	IN
them	PRP
during	IN
the	DT
successful	JJ
Administration	NNP
of	IN
my	PRP$
immediate	JJ
predecessor	NN
)	-RRB-
been	VBN
brought	VBN
to	TO
a	DT
satisfactory	JJ
conclusion	NN
;	:
and	CC
the	DT
most	RBS
important	JJ
of	IN
those	DT
remaining	VBG
are	VBP
,	,
I	PRP
am	VBP
happy	JJ
to	TO
believe	VB
,	,
in	IN
a	DT
fair	JJ
way	NN
of	IN
being	VBG
speedily	RB
and	CC
satisfactorily	RB
adjusted	VBN
.	.
With	IN
all	PDT
the	DT
powers	NNS
of	IN
the	DT
world	NN
our	PRP$
relations	NNS
are	VBP
those	DT
of	IN
honorable	JJ
peace	NN
.	.
Since	IN
your	PRP$
adjournment	NN
nothing	NN
serious	JJ
has	VBZ
occurred	VBN
to	TO
interrupt	VB
or	CC
threaten	VB
this	DT
desirable	JJ
harmony	NN
.	.
If	IN
clouds	NNS
have	VBP
lowered	VBN
above	IN
the	DT
other	JJ
hemisphere	NN
,	,
they	PRP
have	VBP
not	RB
cast	VBN
their	PRP$
portentous	JJ
shadows	NNS
upon	IN
our	PRP$
happy	JJ
shores	NNS
.	.
Bound	NNP
by	IN
no	DT
entangling	JJ
alliances	NNS
,	,
yet	RB
linked	VBN
by	IN
a	DT
common	JJ
nature	NN
and	CC
interest	NN
with	IN
the	DT
other	JJ
nations	NNS
of	IN
mankind	NN
,	,
our	PRP$
aspirations	NNS
are	VBP
for	IN
the	DT
preservation	NN
of	IN
peace	NN
,	,
in	IN
whose	WP$
solid	JJ
and	CC
civilizing	JJ
triumphs	NNS
all	DT
may	MD
participate	VB
with	IN
a	DT
generous	JJ
emulation	NN
.	.
Yet	RB
it	PRP
behooves	VBZ
us	PRP
to	TO
be	VB
prepared	VBN
for	IN
any	DT
event	NN
and	CC
to	TO
be	VB
always	RB
ready	JJ
to	TO
maintain	VB
those	DT
just	RB
and	CC
enlightened	VBD
principles	NNS
of	IN
national	JJ
intercourse	NN
for	IN
which	WDT
this	DT
Government	NN
has	VBZ
ever	RB
contended	VBN
.	.
In	IN
the	DT
shock	NN
of	IN
contending	VBG
empires	NNS
it	PRP
is	VBZ
only	RB
by	IN
assuming	VBG
a	DT
resolute	JJ
bearing	NN
and	CC
clothing	NN
themselves	PRP
with	IN
defensive	JJ
armor	NN
that	IN
neutral	JJ
nations	NNS
can	MD
maintain	VB
their	PRP$
independent	JJ
rights	NNS
.	.
The	DT
excitement	NN
which	WDT
grew	VBD
out	IN
of	IN
the	DT
territorial	JJ
controversy	NN
between	IN
the	DT
United	NNP
States	NNP
and	CC
Great	NNP
Britain	NNP
having	VBG
in	RP
a	DT
great	JJ
measure	NN
subsided	VBN
,	,
it	PRP
is	VBZ
hoped	VBN
that	IN
a	DT
favorable	JJ
period	NN
is	VBZ
approaching	VBG
for	IN
its	PRP$
final	JJ
settlement	NN
.	.
Both	DT
Governments	NNS
must	MD
now	RB
be	VB
convinced	VBN
of	IN
the	DT
dangers	NNS
with	IN
which	WDT
the	DT
question	NN
is	VBZ
fraught	NN
,	,
and	CC
it	PRP
must	MD
be	VB
their	PRP$
desire	NN
,	,
as	IN
it	PRP
is	VBZ
their	PRP$
interest	NN
,	,
that	IN
this	DT
perpetual	JJ
cause	NN
of	IN
irritation	NN
should	MD
be	VB
removed	VBN
as	RB
speedily	RB
as	IN
practicable	JJ
.	.
In	IN
my	PRP$
last	JJ
annual	JJ
message	NN
you	PRP
were	VBD
informed	VBN
that	IN
the	DT
proposition	NN
for	IN
a	DT
commission	NN
of	IN
exploration	NN
and	CC
survey	NN
promised	VBN
by	IN
Great	NNP
Britain	NNP
had	VBD
been	VBN
received	VBN
,	,
and	CC
that	IN
a	DT
counter	NN
project	NN
,	,
including	VBG
also	RB
a	DT
provision	NN
for	IN
the	DT
certain	JJ
and	CC
final	JJ
adjustment	NN
of	IN
the	DT
limits	NNS
in	IN
dispute	NN
,	,
was	VBD
then	RB
before	IN
the	DT
British	JJ
Government	NN
for	IN
its	PRP$
consideration	NN
.	.
The	DT
answer	NN
of	IN
that	DT
Government	NNP
,	,
accompanied	VBN
by	IN
additional	JJ
propositions	NNS
of	IN
its	PRP$
own	JJ
,	,
was	VBD
received	VBN
through	IN
its	PRP$
minister	NN
here	RB
since	IN
your	PRP$
separation	NN
.	.
These	DT
were	VBD
promptly	RB
considered	VBN
,	,
such	JJ
as	IN
were	VBD
deemed	VBN
correct	JJ
in	IN
principle	NN
and	CC
consistent	JJ
with	IN
a	DT
due	JJ
regard	NN
to	TO
the	DT
just	RB
rights	NNS
of	IN
the	DT
United	NNP
States	NNP
and	CC
of	IN
the	DT
State	NNP
of	IN
Maine	NNP
concurred	VBD
in	IN
,	,
and	CC
the	DT
reasons	NNS
for	IN
dissenting	VBG
from	IN
the	DT
residue	NN
,	,
with	IN
an	DT
additional	JJ
suggestion	NN
on	IN
our	PRP$
part	NN
,	,
communicated	VBN
by	IN
the	DT
Secretary	NNP
of	IN
State	NNP
to	TO
Mr.	NNP
Fox	NNP
.	.
That	DT
minister	NN
,	,
not	RB
feeling	VBG
himself	PRP
sufficiently	RB
instructed	VBD
upon	IN
some	DT
of	IN
the	DT
points	NNS
raised	VBN
in	IN
the	DT
discussion	NN
,	,
felt	VBD
it	PRP
to	TO
be	VB
his	PRP$
duty	NN
to	TO
refer	VB
the	DT
matter	NN
to	TO
his	PRP$
own	JJ
Government	NN
for	IN
its	PRP$
further	JJ
decision	NN
.	.
Having	VBG
now	RB
been	VBN
for	IN
some	DT
time	NN
under	IN
its	PRP$
advisement	NN
,	,
a	DT
speedy	JJ
answer	NN
may	MD
be	VB
confidently	RB
expected	VBN
.	.
From	IN
the	DT
character	NN
of	IN
the	DT
points	NNS
still	RB
in	IN
difference	NN
and	CC
the	DT
undoubted	JJ
disposition	NN
of	IN
both	DT
parties	NNS
to	TO
bring	VB
the	DT
matter	NN
to	TO
an	DT
early	JJ
conclusion	NN
,	,
I	PRP
look	VBP
with	IN
entire	JJ
confidence	NN
to	TO
a	DT
prompt	JJ
and	CC
satisfactory	JJ
termination	NN
of	IN
the	DT
negotiation	NN
.	.
Three	CD
commissioners	NNS
were	VBD
appointed	VBN
shortly	RB
after	IN
the	DT
adjournment	NN
of	IN
Congress	NNP
under	IN
the	DT
act	NN
of	IN
the	DT
last	JJ
session	NN
providing	VBG
for	IN
the	DT
exploration	NN
and	CC
survey	NN
of	IN
the	DT
line	NN
which	WDT
separates	VBZ
the	DT
States	NNP
of	IN
Maine	NNP
and	CC
New	NNP
Hampshire	NNP
from	IN
the	DT
British	JJ
Provinces	NNS
.	.
They	PRP
have	VBP
been	VBN
actively	RB
employed	VBN
until	IN
their	PRP$
progress	NN
was	VBD
interrupted	VBN
by	IN
the	DT
inclemency	NN
