token	pos
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
When	WRB
we	PRP
call	VBP
to	TO
mind	VB
the	DT
gracious	JJ
indulgence	NN
of	IN
Heaven	NN
by	IN
which	WDT
the	DT
American	JJ
people	NNS
became	VBD
a	DT
nation	NN
;	:
when	WRB
we	PRP
survey	VBP
the	DT
general	JJ
prosperity	NN
of	IN
our	PRP$
country	NN
,	,
and	CC
look	VBP
forward	RB
to	TO
the	DT
riches	NNS
,	,
power	NN
,	,
and	CC
happiness	NN
to	TO
which	WDT
it	PRP
seems	VBZ
destined	VBN
,	,
with	IN
the	DT
deepest	JJS
regret	NN
do	VBP
I	PRP
announce	VB
to	TO
you	PRP
that	IN
during	IN
your	PRP$
recess	NN
some	DT
of	IN
the	DT
citizens	NNS
of	IN
the	DT
United	NNP
States	NNPS
have	VBP
been	VBN
found	VBN
capable	JJ
of	IN
insurrection	NN
.	.
It	PRP
is	VBZ
due	JJ
,	,
however	RB
,	,
to	TO
the	DT
character	NN
of	IN
our	PRP$
Government	NN
and	CC
to	TO
its	PRP$
stability	NN
,	,
which	WDT
can	MD
not	RB
be	VB
shaken	VBN
by	IN
the	DT
enemies	NNS
of	IN
order	NN
,	,
freely	RB
to	TO
unfold	VB
the	DT
course	NN
of	IN
this	DT
event	NN
.	.
During	IN
the	DT
session	NN
of	IN
the	DT
year	NN
1790	IN
it	PRP
was	VBD
expedient	JJ
to	TO
exercise	VB
the	DT
legislative	JJ
power	NN
granted	VBN
by	IN
the	DT
Constitution	NNP
of	IN
the	DT
United	NNP
States	NNPS
"	''
to	TO
lay	VB
and	CC
collect	VB
excises	NNS
"	''
.	.
In	IN
a	DT
majority	NN
of	IN
the	DT
States	NNP
scarcely	RB
an	DT
objection	NN
was	VBD
heard	VBN
to	TO
this	DT
mode	NN
of	IN
taxation	NN
.	.
In	IN
some	DT
,	,
indeed	RB
,	,
alarms	NNS
were	VBD
at	IN
first	JJ
conceived	VBN
,	,
until	IN
they	PRP
were	VBD
banished	VBN
by	IN
reason	NN
and	CC
patriotism	NN
.	.
In	IN
the	DT
four	CD
western	JJ
counties	NNS
of	IN
Pennsylvania	NNP
a	DT
prejudice	NN
,	,
fostered	VBN
and	CC
imbittered	VBN
by	IN
the	DT
artifice	NN
of	IN
men	NNS
who	WP
labored	VBD
for	IN
an	DT
ascendency	NN
over	IN
the	DT
will	NN
of	IN
others	NNS
by	IN
the	DT
guidance	NN
of	IN
their	PRP$
passions	NNS
,	,
produced	VBD
symptoms	NNS
of	IN
riot	NN
and	CC
violence	NN
.	.
It	PRP
is	VBZ
well	RB
known	VBN
that	IN
Congress	NNP
did	VBD
not	RB
hesitate	VB
to	TO
examine	VB
the	DT
complaints	NNS
which	WDT
were	VBD
presented	VBN
,	,
and	CC
to	TO
relieve	VB
them	PRP
as	RB
far	RB
as	IN
justice	NN
dictated	VBD
or	CC
general	JJ
convenience	NN
would	MD
permit	VB
.	.
But	CC
the	DT
impression	NN
which	WDT
this	DT
moderation	NN
made	VBD
on	IN
the	DT
discontented	JJ
did	VBD
not	RB
correspond	VB
with	IN
what	WP
it	PRP
deserved	VBD
.	.
The	DT
arts	NNS
of	IN
delusion	NN
were	VBD
no	RB
longer	RB
confined	VBN
to	TO
the	DT
efforts	NNS
of	IN
designing	VBG
individuals	NNS
.	.
The	DT
very	JJ
forbearance	NN
to	TO
press	NN
prosecutions	NNS
was	VBD
misinterpreted	VBN
into	IN
a	DT
fear	NN
of	IN
urging	VBG
the	DT
execution	NN
of	IN
the	DT
laws	NNS
,	,
and	CC
associations	NNS
of	IN
men	NNS
began	VBD
to	TO
denounce	VB
threats	NNS
against	IN
the	DT
officers	NNS
employed	VBN
.	.
From	IN
a	DT
belief	NN
that	IN
by	IN
a	DT
more	RBR
formal	JJ
concert	NN
their	PRP$
operation	NN
might	MD
be	VB
defeated	VBN
,	,
certain	JJ
self-created	JJ
societies	NNS
assumed	VBN
the	DT
tone	NN
of	IN
condemnation	NN
.	.
Hence	RB
,	,
while	IN
the	DT
greater	JJR
part	NN
of	IN
Pennsylvania	NNP
itself	PRP
were	VBD
conforming	VBG
themselves	PRP
to	TO
the	DT
acts	NNS
of	IN
excise	NN
,	,
a	DT
few	JJ
counties	NNS
were	VBD
resolved	VBN
to	TO
frustrate	VB
them	PRP
.	.
It	PRP
is	VBZ
now	RB
perceived	VBN
that	IN
every	DT
expectation	NN
from	IN
the	DT
tenderness	NN
which	WDT
had	VBD
been	VBN
hitherto	IN
pursued	VBN
was	VBD
unavailing	JJ
,	,
and	CC
that	IN
further	JJ
delay	NN
could	MD
only	RB
create	VB
an	DT
opinion	NN
of	IN
impotency	NN
or	CC
irresolution	NN
in	IN
the	DT
Government	NN
.	.
Legal	JJ
process	NN
was	VBD
therefore	RB
delivered	VBN
to	TO
the	DT
marshal	NN
against	IN
the	DT
rioters	NNS
and	CC
delinquent	JJ
distillers	NNS
.	.
No	RB
sooner	RBR
was	VBD
he	PRP
understood	VBD
to	TO
be	VB
engaged	VBN
in	IN
this	DT
duty	NN
than	IN
the	DT
vengeance	NN
of	IN
armed	JJ
men	NNS
was	VBD
aimed	VBN
at	IN
his	PRP$
person	NN
and	CC
the	DT
person	NN
and	CC
property	NN
of	IN
the	DT
inspector	NN
of	IN
the	DT
revenue	NN
.	.
They	PRP
fired	VBD
upon	IN
the	DT
marshal	NN
,	,
arrested	VBN
him	PRP
,	,
and	CC
detained	VBD
him	PRP
for	IN
some	DT
time	NN
as	IN
a	DT
prisoner	NN
.	.
He	PRP
was	VBD
obliged	VBN
,	,
by	IN
the	DT
jeopardy	NN
of	IN
his	PRP$
life	NN
,	,
to	TO
renounce	VB
the	DT
service	NN
of	IN
other	JJ
process	NN
on	IN
the	DT
west	JJ
side	NN
of	IN
the	DT
Allegheny	NNP
Mountain	NNP
,	,
and	CC
a	DT
deputation	NN
was	VBD
afterwards	RB
sent	VBN
to	TO
him	PRP
to	TO
demand	VB
a	DT
surrender	NN
of	IN
that	WDT
which	WDT
he	PRP
had	VBD
served	VBN
.	.
A	DT
numerous	JJ
body	NN
repeatedly	RB
attacked	VBN
the	DT
house	NN
of	IN
the	DT
inspector	NN
,	,
seized	VBD
his	PRP$
papers	NNS
of	IN
office	NN
,	,
and	CC
finally	RB
destroyed	VBN
by	IN
fire	NN
his	PRP$
buildings	NNS
and	CC
whatsoever	RB
they	PRP
contained	VBD
.	.
Both	DT
of	IN
these	DT
officers	NNS
,	,
from	IN
a	DT
just	RB
regard	NN
to	TO
their	PRP$
safety	NN
,	,
fled	VBD
to	TO
the	DT
seat	NN
of	IN
Government	NNP
,	,
it	PRP
being	VBG
avowed	VBN
that	IN
the	DT
motives	NNS
to	TO
such	JJ
outrages	NNS
were	VBD
to	TO
compel	VB
the	DT
resignation	NN
of	IN
the	DT
inspector	NN
,	,
to	TO
withstand	VB
by	IN
force	NN
of	IN
arms	NNS
the	DT
authority	NN
of	IN
the	DT
United	NNP
States	NNP
,	,
and	CC
thereby	RB
to	TO
extort	VB
a	DT
repeal	NN
of	IN
the	DT
laws	NNS
of	IN
excise	NN
and	CC
an	DT
alteration	NN
in	IN
the	DT
conduct	NN
of	IN
Government	NNP
.	.
Upon	IN
testimony	NN
of	IN
these	DT
facts	NNS
an	DT
associate	JJ
justice	NN
of	IN
the	DT
Supreme	NNP
Court	NNP
of	IN
the	DT
United	NNP
States	NNP
notified	VBD
to	TO
me	PRP
that	IN
"in	IN
the	DT
counties	NNS
of	IN
Washington	NNP
and	CC
Allegheny	NNP
,	,
in	IN
Pennsylvania	NNP
,	,
laws	NNS
of	IN
the	DT
United	NNP
States	NNPS
were	VBD
opposed	VBN
,	,
and	CC
the	DT
execution	NN
thereof	PRP
obstructed	VBD
,	,
by	IN
combinations	NNS
too	RB
powerful	JJ
to	TO
be	VB
suppressed	VBN
by	IN
the	DT
ordinary	JJ
course	NN
of	IN
judicial	JJ
proceedings	NNS
or	CC
by	IN
the	DT
powers	NNS
vested	VBN
in	IN
the	DT
marshal	NN
of	IN
that	DT
district	NN
"	''
.	.
On	IN
this	DT
call	NN
,	,
momentous	JJ
in	IN
the	DT
extreme	JJ
,	,
I	PRP
sought	VBD
and	CC
weighted	JJ
what	WP
might	MD
best	JJS
subdue	NN
the	DT
crisis	NN
.	.
On	IN
the	DT
one	CD
hand	NN
the	DT
judiciary	NN
was	VBD
pronounced	VBN
to	TO
be	VB
stripped	VBN
of	IN
its	PRP$
capacity	NN
to	TO
enforce	VB
the	DT
laws	NNS
;	:
crimes	NNS
which	WDT
reached	VBD
the	DT
very	JJ
existence	NN
of	IN
social	JJ
order	NN
were	VBD
perpetrated	VBN
without	IN
control	NN
;	:
the	DT
friends	NNS
of	IN
Government	NNP
were	VBD
insulted	VBN
,	,
abused	VBN
,	,
and	CC
overawed	VBD
into	IN
silence	NN
or	CC
an	DT
apparent	JJ
acquiescence	NN
;	:
and	CC
to	TO
yield	VB
to	TO
the	DT
treasonable	JJ
fury	NN
of	IN
so	RB
small	JJ
a	DT
portion	NN
of	IN
the	DT
United	NNP
States	NNPS
would	MD
be	VB
to	TO
violate	VB
the	DT
fundamental	JJ
principle	NN
of	IN
our	PRP$
Constitution	NNP
,	,
which	WDT
enjoins	VBZ
that	IN
the	DT
will	NN
of	IN
the	DT
majority	NN
shall	MD
prevail	VB
.	.
On	IN
the	DT
other	JJ
,	,
to	TO
array	NN
citizen	NN
against	IN
citizen	NN
,	,
to	TO
publish	VB
the	DT
dishonor	NN
of	IN
such	JJ
excesses	NNS
,	,
to	TO
encounter	VB
the	DT
expense	NN
and	CC
other	JJ
embarrassments	NNS
of	IN
so	RB
distant	JJ
an	DT
expedition	NN
,	,
were	VBD
steps	NNS
too	RB
delicate	JJ
,	,
too	RB
closely	RB
interwoven	VBN
with	IN
many	JJ
affecting	VBG
considerations	NNS
,	,
to	TO
be	VB
lightly	RB
adopted	VBN
.	.
I	PRP
postponed	VBD
,	,
therefore	RB
,	,
the	DT
summoning	NN
of	IN
the	DT
militia	NN
immediately	RB
into	IN
the	DT
field	NN
,	,
but	CC
I	PRP
required	VBD
them	PRP
to	TO
be	VB
held	VBN
in	IN
readiness	NN
,	,
that	IN
if	IN
my	PRP$
anxious	JJ
endeavors	NNS
to	TO
reclaim	VB
the	DT
deluded	JJ
and	CC
to	TO
convince	VB
the	DT
malignant	JJ
of	IN
their	PRP$
danger	NN
should	MD
be	VB
fruitless	JJ
,	,
military	JJ
force	NN
might	MD
be	VB
prepared	VBN
to	TO
act	VB
before	IN
the	DT
season	NN
should	MD
be	VB
too	RB
far	RB
advanced	VBN
.	.
My	PRP$
proclamation	NN
of	IN
the	DT
7th	NNP
of	IN
August	NNP
last	JJ
[1794-08-07]	NN
was	VBD
accordingly	RB
issued	VBN
,	,
and	CC
accompanied	VBN
by	IN
the	DT
appointment	NN
of	IN
commissioners	NNS
,	,
who	WP
