token	pos
Fellow	NNP
Citizens	NNPS
of	IN
the	DT
Senate	NNP
and	CC
of	IN
the	DT
House	NNP
of	IN
Representatives	NNPS
:	:
It	PRP
affords	VBZ
me	PRP
pleasure	VB
to	TO
tender	VB
my	PRP$
friendly	JJ
greetings	NNS
to	TO
you	PRP
on	IN
the	DT
occasion	NN
of	IN
your	PRP$
assembling	NN
at	IN
the	DT
seat	NN
of	IN
Government	NNP
to	TO
enter	VB
upon	IN
the	DT
important	JJ
duties	NNS
to	TO
which	WDT
you	PRP
have	VBP
been	VBN
called	VBN
by	IN
the	DT
voice	NN
of	IN
our	PRP$
country-men	NNS
.	.
The	DT
task	NN
devolves	VBZ
on	IN
me	PRP
,	,
under	IN
a	DT
provision	NN
of	IN
the	DT
Constitution	NNP
,	,
to	TO
present	VB
to	TO
you	PRP
,	,
as	IN
the	DT
Federal	NNP
Legislature	NNP
of	IN
24	CD
sovereign	NN
States	NNS
and	CC
12,000,000	CD
happy	JJ
people	NNS
,	,
a	DT
view	NN
of	IN
our	PRP$
affairs	NNS
,	,
and	CC
to	TO
propose	VB
such	JJ
measures	NNS
as	IN
in	IN
the	DT
discharge	NN
of	IN
my	PRP$
official	JJ
functions	NNS
have	VBP
suggested	VBN
themselves	PRP
as	IN
necessary	JJ
to	TO
promote	VB
the	DT
objects	NNS
of	IN
our	PRP$
Union	NNP
.	.
In	IN
communicating	VBG
with	IN
you	PRP
for	IN
the	DT
first	JJ
time	NN
it	PRP
is	VBZ
to	TO
me	PRP
a	DT
source	NN
of	IN
unfeigned	JJ
satisfaction	NN
,	,
calling	VBG
for	IN
mutual	JJ
gratulation	NN
and	CC
devout	NN
thanks	NNS
to	TO
a	DT
benign	JJ
Providence	NNP
,	,
that	IN
we	PRP
are	VBP
at	IN
peace	NN
with	IN
all	DT
man-kind	NN
,	,
and	CC
that	IN
our	PRP$
country	NN
exhibits	VBZ
the	DT
most	RBS
cheering	JJ
evidence	NN
of	IN
general	JJ
welfare	NN
and	CC
progressive	JJ
improvement	NN
.	.
Turning	VBG
our	PRP$
eyes	NNS
to	TO
other	JJ
nations	NNS
,	,
our	PRP$
great	JJ
desire	NN
is	VBZ
to	TO
see	VB
our	PRP$
brethren	NNS
of	IN
the	DT
human	JJ
race	NN
secured	VBN
in	IN
the	DT
blessings	NNS
enjoyed	VBN
by	IN
ourselves	PRP
,	,
and	CC
advancing	VBG
in	IN
knowledge	NN
,	,
in	IN
freedom	NN
,	,
and	CC
in	IN
social	JJ
happiness	NN
.	.
Our	PRP$
foreign	JJ
relations	NNS
,	,
although	IN
in	IN
their	PRP$
general	JJ
character	NN
pacific	NN
and	CC
friendly	JJ
,	,
present	JJ
subjects	NNS
of	IN
difference	NN
between	IN
us	PRP
and	CC
other	JJ
powers	NNS
of	IN
deep	JJ
interest	NN
as	IN
well	RB
to	TO
the	DT
country	NN
at	IN
large	JJ
as	IN
to	TO
many	JJ
of	IN
our	PRP$
citizens	NNS
.	.
To	TO
effect	VB
an	DT
adjustment	NN
of	IN
these	DT
shall	MD
continue	VB
to	TO
be	VB
the	DT
object	NN
of	IN
my	PRP$
earnest	JJ
endeavors	NNS
,	,
and	CC
not	RB
with	IN
standing	VBG
the	DT
difficulties	NNS
of	IN
the	DT
task	NN
,	,
I	PRP
do	VBP
not	RB
allow	VB
myself	PRP
to	TO
apprehend	VB
unfavorable	JJ
results	NNS
.	.
Blessed	VBN
as	IN
our	PRP$
country	NN
is	VBZ
with	IN
every	DT
thing	NN
which	WDT
constitutes	VBZ
national	JJ
strength	NN
,	,
she	PRP
is	VBZ
fully	RB
adequate	JJ
to	TO
the	DT
maintenance	NN
of	IN
all	DT
her	PRP$
interests	NNS
.	.
In	IN
discharging	VBG
the	DT
responsible	JJ
trust	NN
confided	VBD
to	TO
the	DT
Executive	NNP
in	IN
this	DT
respect	NN
it	PRP
is	VBZ
my	PRP$
settled	JJ
purpose	NN
to	TO
ask	VB
nothing	NN
that	WDT
is	VBZ
not	RB
clearly	RB
right	JJ
and	CC
to	TO
submit	VB
to	TO
nothing	NN
that	WDT
is	VBZ
wrong	JJ
;	:
and	CC
I	PRP
flatter	RB
myself	PRP
that	WDT
,	,
supported	VBN
by	IN
the	DT
other	JJ
branches	NNS
of	IN
the	DT
Government	NNP
and	CC
by	IN
the	DT
intelligence	NN
and	CC
patriotism	NN
of	IN
the	DT
people	NNS
,	,
we	PRP
shall	MD
be	VB
able	JJ
,	,
under	IN
the	DT
protection	NN
of	IN
Providence	NNP
,	,
to	TO
cause	VB
all	DT
our	PRP$
just	RB
rights	NNS
to	TO
be	VB
respected	VBN
.	.
Of	IN
the	DT
unsettled	JJ
matters	NNS
between	IN
the	DT
United	NNP
States	NNP
and	CC
other	JJ
powers	NNS
,	,
the	DT
most	JJS
prominent	JJ
are	VBP
those	DT
which	WDT
have	VBP
for	IN
years	NNS
been	VBN
the	DT
subject	NN
of	IN
negotiation	NN
with	IN
England	NNP
,	,
France	NNP
,	,
and	CC
Spain	NNP
.	.
The	DT
late	JJ
periods	NNS
at	IN
which	WDT
our	PRP$
ministers	NNS
to	TO
those	DT
Governments	NNS
left	VBD
the	DT
United	NNP
States	NNPS
render	NN
it	PRP
impossible	JJ
at	IN
this	DT
early	JJ
day	NN
to	TO
inform	VB
you	PRP
of	IN
what	WP
has	VBZ
been	VBN
done	VBN
on	IN
the	DT
subjects	NNS
with	IN
which	WDT
they	PRP
have	VBP
been	VBN
respectively	RB
charged	VBN
.	.
Relying	VBG
upon	IN
the	DT
justice	NN
of	IN
our	PRP$
views	NNS
in	IN
relation	NN
to	TO
the	DT
points	NNS
committed	VBN
to	TO
negotiation	NN
and	CC
the	DT
reciprocal	JJ
good	JJ
feeling	NN
which	WDT
characterizes	VBZ
our	PRP$
intercourse	NN
with	IN
those	DT
nations	NNS
,	,
we	PRP
have	VBP
the	DT
best	JJS
reason	NN
to	TO
hope	VB
for	IN
