token	pos
I	PRP
embrace	VBP
with	IN
great	JJ
satisfaction	NN
the	DT
opportunity	NN
which	WDT
now	RB
presents	VBZ
itself	PRP
of	IN
congratulating	VBG
you	PRP
on	IN
the	DT
present	JJ
favorable	JJ
prospects	NNS
of	IN
our	PRP$
public	JJ
affairs	NNS
.	.
The	DT
recent	JJ
accession	NN
of	IN
the	DT
important	JJ
state	NN
of	IN
North	NNP
Carolina	NNP
to	TO
the	DT
Constitution	NNP
of	IN
the	DT
United	NNP
States	NNP
(	-LRB-
of	IN
which	WDT
official	JJ
information	NN
has	VBZ
been	VBN
received	VBN
)	-RRB-
,	,
the	DT
rising	VBG
credit	NN
and	CC
respectability	NN
of	IN
our	PRP$
country	NN
,	,
the	DT
general	JJ
and	CC
increasing	VBG
good	JJ
will	NN
toward	IN
the	DT
government	NN
of	IN
the	DT
Union	NNP
,	,
and	CC
the	DT
concord	NN
,	,
peace	NN
,	,
and	CC
plenty	NN
with	IN
which	WDT
we	PRP
are	VBP
blessed	VBN
are	VBP
circumstances	NNS
auspicious	JJ
in	IN
an	DT
eminent	JJ
degree	NN
to	TO
our	PRP$
national	JJ
prosperity	NN
.	.
In	IN
resuming	VBG
your	PRP$
consultations	NNS
for	IN
the	DT
general	JJ
good	JJ
you	PRP
can	MD
not	RB
but	CC
derive	VB
encouragement	NN
from	IN
the	DT
reflection	NN
that	IN
the	DT
measures	NNS
of	IN
the	DT
last	JJ
session	NN
have	VBP
been	VBN
as	IN
satisfactory	JJ
to	TO
your	PRP$
constituents	NNS
as	IN
the	DT
novelty	NN
and	CC
difficulty	NN
of	IN
the	DT
work	NN
allowed	VBD
you	PRP
to	TO
hope	VB
.	.
Still	RB
further	RB
to	TO
realize	VB
their	PRP$
expectations	NNS
and	CC
to	TO
secure	VB
the	DT
blessings	NNS
which	WDT
a	DT
gracious	JJ
Providence	NNP
has	VBZ
placed	VBN
within	IN
our	PRP$
reach	NN
will	MD
in	IN
the	DT
course	NN
of	IN
the	DT
present	JJ
important	JJ
session	NN
call	NN
for	IN
the	DT
cool	JJ
and	CC
deliberate	JJ
exertion	NN
of	IN
your	PRP$
patriotism	NN
,	,
firmness	NN
,	,
and	CC
wisdom	NN
.	.
Among	IN
the	DT
many	JJ
interesting	JJ
objects	NNS
which	WDT
will	MD
engage	VB
your	PRP$
attention	NN
that	IN
of	IN
providing	VBG
for	IN
the	DT
common	JJ
defense	NN
will	MD
merit	VB
particular	JJ
regard	NN
.	.
To	TO
be	VB
prepared	VBN
for	IN
war	NN
is	VBZ
one	CD
of	IN
the	DT
most	RBS
effectual	JJ
means	NNS
of	IN
preserving	VBG
peace	NN
.	.
A	DT
free	JJ
people	NNS
ought	MD
not	RB
only	RB
to	TO
be	VB
armed	VBN
,	,
but	CC
disciplined	VBD
;	:
to	TO
which	WDT
end	NN
a	DT
uniform	NN
and	CC
well-digested	JJ
plan	NN
is	VBZ
requisite	JJ
;	:
and	CC
their	PRP$
safety	NN
and	CC
interest	NN
require	VBP
that	IN
they	PRP
should	MD
promote	VB
such	JJ
manufactories	NNS
as	IN
tend	VBP
to	TO
render	VB
them	PRP
independent	JJ
of	IN
others	NNS
for	IN
essential	JJ
,	,
particularly	RB
military	JJ
,	,
supplies	NNS
.	.
The	DT
proper	JJ
establishment	NN
of	IN
the	DT
troops	NNS
which	WDT
may	MD
be	VB
deemed	VBN
indispensable	JJ
will	MD
be	VB
entitled	VBN
to	TO
mature	VB
consideration	NN
.	.
In	IN
the	DT
arrangements	NNS
which	WDT
may	MD
be	VB
made	VBN
respecting	VBG
it	PRP
it	PRP
will	MD
be	VB
of	IN
importance	NN
to	TO
conciliate	VB
the	DT
comfortable	JJ
support	NN
of	IN
the	DT
officers	NNS
and	CC
soldiers	NNS
with	IN
a	DT
due	JJ
regard	NN
to	TO
economy	NN
.	.
There	EX
was	VBD
reason	NN
to	TO
hope	VB
that	IN
the	DT
pacific	JJ
measures	NNS
adopted	VBN
with	IN
regard	NN
to	TO
certain	JJ
hostile	JJ
tribes	NNS
of	IN
Indians	NNPS
would	MD
have	VB
relieved	VBN
the	DT
inhabitants	NNS
of	IN
our	PRP$
southern	JJ
and	CC
western	JJ
frontiers	NNS
from	IN
their	PRP$
depredations	NNS
,	,
but	CC
you	PRP
will	MD
perceive	VB
from	IN
the	DT
information	NN
contained	VBN
in	IN
the	DT
papers	NNS
which	WDT
I	PRP
shall	MD
direct	VB
to	TO
be	VB
laid	VBN
before	IN
you	PRP
(	-LRB-
comprehending	VBG
a	DT
communication	NN
from	IN
the	DT
Commonwealth	NNP
of	IN
Virginia	NNP
)	-RRB-
that	IN
we	PRP
ought	MD
to	TO
be	VB
prepared	VBN
to	TO
afford	VB
protection	NN
to	TO
those	DT
parts	NNS
of	IN
the	DT
Union	NNP
,	,
and	CC
,	,
if	IN
necessary	JJ
,	,
to	TO
punish	VB
aggressors	NNS
.	.
The	DT
interests	NNS
of	IN
the	DT
United	NNP
States	NNP
require	VBP
that	IN
our	PRP$
intercourse	NN
with	IN
other	JJ
nations	NNS
should	MD
be	VB
facilitated	VBN
by	IN
such	JJ
provisions	NNS
as	RB
will	MD
enable	VB
me	PRP
to	TO
fulfill	VB
my	PRP$
duty	NN
in	IN
that	DT
respect	NN
in	IN
the	DT
manner	NN
which	WDT
circumstances	NNS
may	MD
render	VB
most	RBS
conducive	JJ
to	TO
the	DT
public	JJ
good	JJ
,	,
and	CC
to	TO
this	DT
end	NN
that	IN
the	DT
compensation	NN
to	TO
be	VB
made	VBN
to	TO
the	DT
persons	NNS
who	WP
may	MD
be	VB
employed	VBN
should	MD
,	,
according	VBG
to	TO
the	DT
nature	NN
of	IN
their	PRP$
appointments	NNS
,	,
be	VB
defined	VBN
by	IN
law	NN
,	,
and	CC
a	DT
competent	JJ
fund	NN
designated	VBN
for	IN
defraying	VBG
the	DT
expenses	NNS
incident	NN
to	TO
the	DT
conduct	NN
of	IN
foreign	JJ
affairs	NNS
.	.
Various	JJ
considerations	NNS
also	RB
render	VB
it	PRP
expedient	VB
that	IN
the	DT
terms	NNS
on	IN
which	WDT
foreigners	NNS
may	MD
be	VB
admitted	VBN
to	TO
the	DT
rights	NNS
of	IN
citizens	NNS
should	MD
be	VB
speedily	RB
ascertained	VBN
by	IN
a	DT
uniform	JJ
rule	NN
of	IN
naturalization	NN
.	.
Uniformity	NNP
in	IN
the	DT
currency	NN
,	,
weights	NNS
,	,
and	CC
measures	NNS
of	IN
the	DT
United	NNP
States	NNP
is	VBZ
an	DT
object	NN
of	IN
great	JJ
importance	NN
,	,
and	CC
will	MD
,	,
I	PRP
am	VBP
persuaded	VBN
,	,
be	VB
duly	RB
attended	VBN
to	TO
.	.
The	DT
advancement	NN
of	IN
agriculture	NN
,	,
commerce	NN
,	,
and	CC
manufactures	VBZ
by	IN
all	DT
proper	JJ
means	NNS
will	MD
not	RB
,	,
I	PRP
trust	VBP
,	,
need	VBP
recommendation	NN
;	:
but	CC
I	PRP
can	MD
not	RB
forbear	VB
intimating	VBG
to	TO
you	PRP
the	DT
expediency	NN
of	IN
giving	VBG
effectual	JJ
encouragement	NN
as	RB
well	RB
to	TO
the	DT
introduction	NN
of	IN
new	JJ
and	CC
useful	JJ
inventions	NNS
from	IN
abroad	RB
as	IN
to	TO
the	DT
exertions	NNS
of	IN
skill	NN
and	CC
genius	NN
in	IN
producing	VBG
them	PRP
at	IN
home	NN
,	,
and	CC
of	IN
facilitating	VBG
the	DT
intercourse	NN
between	IN
the	DT
distant	JJ
parts	NNS
of	IN
our	PRP$
country	NN
by	IN
a	DT
due	JJ
attention	NN
to	TO
the	DT
post-office	NN
and	CC
post-roads	NNS
.	.
Nor	CC
am	VBP
I	PRP
less	RBR
persuaded	VBN
that	IN
you	PRP
will	MD
agree	VB
with	IN
me	PRP
in	IN
opinion	NN
that	IN
there	EX
is	VBZ
nothing	NN
which	WDT
can	MD
better	RB
deserve	VB
your	PRP$
patronage	NN
than	IN
the	DT
promotion	NN
of	IN
science	NN
and	CC
literature	NN
.	.
Knowledge	NN
is	VBZ
in	IN
every	DT
country	NN
the	DT
surest	JJS
basis	NN
of	IN
public	JJ
happiness	NN
.	.
In	IN
one	CD
in	IN
which	WDT
the	DT
measures	NNS
of	IN
government	NN
receive	VBP
their	PRP$
impressions	NNS
so	RB
immediately	RB
from	IN
the	DT
sense	NN
of	IN
the	DT
community	NN
as	RB
in	IN
ours	PRP$
it	PRP
is	VBZ
proportionably	RB
essential	JJ
.	.
To	TO
the	DT
security	NN
of	IN
a	DT
free	JJ
constitution	NN
it	PRP
contributes	VBZ
in	IN
various	JJ
ways	NNS
-	:
by	IN
convincing	VBG
those	DT
who	WP
are	VBP
intrusted	VBN
with	IN
the	DT
public	JJ
administration	NN
that	IN
every	DT
valuable	JJ
end	NN
of	IN
government	NN
is	VBZ
best	RB
answered	VBN
by	IN
the	DT
enlightened	JJ
confidence	NN
of	IN
the	DT
people	NNS
,	,
and	CC
by	IN
teaching	VBG
the	DT
people	NNS
themselves	PRP
to	TO
know	VB
and	CC
to	TO
value	VB
their	PRP$
own	JJ
rights	NNS
;	:
to	TO
discern	VB
and	CC
provide	VB
against	IN
