token	pos
Mr.	NNP
Vice	NNP
President	NNP
,	,
Mr.	NNP
Speaker	NNP
,	,
Members	NNP
of	IN
the	DT
Seventy-eighth	JJ
Congress	NNP
:	:
This	DT
Seventy-eighth	JJ
Congress	NNP
assembles	NNS
in	IN
one	CD
of	IN
the	DT
great	JJ
moments	NNS
in	IN
the	DT
history	NN
of	IN
the	DT
Nation	NNP
.	.
The	DT
past	JJ
year	NN
was	VBD
perhaps	RB
the	DT
most	RBS
crucial	JJ
for	IN
modern	JJ
civilization	NN
;	:
the	DT
coming	JJ
year	NN
will	MD
be	VB
filled	VBN
with	IN
violent	JJ
conflicts	NNS
-	:
yet	RB
with	IN
high	JJ
promise	NN
of	IN
better	JJR
things	NNS
.	.
We	PRP
must	MD
appraise	VB
the	DT
events	NNS
of	IN
1942	CD
according	VBG
to	TO
their	PRP$
relative	JJ
importance	NN
;	:
we	PRP
must	MD
exercise	VB
a	DT
sense	NN
of	IN
proportion	NN
.	.
First	RB
in	IN
importance	NN
in	IN
the	DT
American	NNP
scene	NN
has	VBZ
been	VBN
the	DT
inspiring	JJ
proof	NN
of	IN
the	DT
great	JJ
qualities	NNS
of	IN
our	PRP$
fighting	VBG
men	NNS
.	.
They	PRP
have	VBP
demonstrated	VBN
these	DT
qualities	NNS
in	IN
adversity	NN
as	RB
well	RB
as	IN
in	IN
victory	NN
.	.
As	RB
long	RB
as	IN
our	PRP$
flag	NN
flies	VBZ
over	IN
this	DT
Capitol	NNP
,	,
Americans	NNPS
will	MD
honor	VB
the	DT
soldiers	NNS
,	,
sailors	NNS
,	,
and	CC
marines	NNS
who	WP
fought	VBD
our	PRP$
first	JJ
battles	NNS
of	IN
this	DT
war	NN
against	IN
overwhelming	JJ
odds	NNS
the	DT
heroes	NNS
,	,
living	NN
and	CC
dead	JJ
,	,
of	IN
Wake	NNP
and	CC
Bataan	NNP
and	CC
Guadalcanal	NNP
,	,
of	IN
the	DT
Java	NNP
Sea	NNP
and	CC
Midway	NNP
and	CC
the	DT
North	NNP
Atlantic	NNP
convoys	NNS
.	.
Their	PRP$
unconquerable	JJ
spirit	NN
will	MD
live	VB
forever	RB
.	.
By	IN
far	RB
the	DT
largest	JJS
and	CC
most	RBS
important	JJ
developments	NNS
in	IN
the	DT
whole	JJ
world-wide	JJ
strategic	JJ
picture	NN
of	IN
1942	CD
were	VBD
the	DT
events	NNS
of	IN
the	DT
long	JJ
fronts	NNS
in	IN
Russia	NNP
:	:
first	JJ
,	,
the	DT
implacable	JJ
defense	NN
of	IN
Stalingrad	NNP
;	:
and	CC
,	,
second	JJ
,	,
the	DT
offensives	NNS
by	IN
the	DT
Russian	JJ
armies	NNS
at	IN
various	JJ
points	NNS
that	WDT
started	VBD
in	IN
the	DT
latter	JJ
part	NN
of	IN
November	NNP
and	CC
which	WDT
still	RB
roll	VBP
on	IN
with	IN
