token	pos
To	TO
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
of	IN
the	DT
United	NNP
States	NNPS
:	:
We	PRP
have	VBP
continued	VBN
reason	NN
to	TO
express	VB
our	PRP$
profound	JJ
gratitude	NN
to	TO
the	DT
Great	JJ
Creator	NN
of	IN
All	DT
Things	NNS
for	IN
numberless	JJ
benefits	NNS
conferred	VBN
upon	IN
us	PRP
as	IN
a	DT
people	NNS
.	.
Blessed	VBN
with	IN
genial	JJ
seasons	NNS
,	,
the	DT
husbandman	NN
has	VBZ
his	PRP$
garners	NNS
filled	VBN
with	IN
abundance	NN
,	,
and	CC
the	DT
necessaries	NNS
of	IN
life	NN
,	,
not	RB
to	TO
speak	VB
of	IN
its	PRP$
luxuries	NNS
,	,
abound	RB
in	IN
every	DT
direction	NN
.	.
While	IN
in	IN
some	DT
other	JJ
nations	NNS
steady	JJ
and	CC
industrious	JJ
labor	NN
can	MD
hardly	RB
find	VB
the	DT
means	NNS
of	IN
subsistence	NN
,	,
the	DT
greatest	JJS
evil	NN
which	WDT
we	PRP
have	VBP
to	TO
encounter	VB
is	VBZ
a	DT
surplus	NN
of	IN
production	NN
beyond	IN
the	DT
home	NN
demand	NN
,	,
which	WDT
seeks	VBZ
,	,
and	CC
with	IN
difficulty	NN
finds	VBZ
,	,
a	DT
partial	JJ
market	NN
in	IN
other	JJ
regions	NNS
.	.
The	DT
health	NN
of	IN
the	DT
country	NN
,	,
with	IN
partial	JJ
exceptions	NNS
,	,
has	VBZ
for	IN
the	DT
past	JJ
year	NN
been	VBN
well	RB
preserved	VBN
,	,
and	CC
under	IN
their	PRP$
free	JJ
and	CC
wise	JJ
institutions	NNS
the	DT
United	NNP
States	NNPS
are	VBP
rapidly	RB
advancing	VBG
toward	IN
the	DT
consummation	NN
of	IN
the	DT
high	JJ
destiny	NN
which	WDT
an	DT
overruling	JJ
Providence	NNP
seems	VBZ
to	TO
have	VB
marked	VBN
out	RP
for	IN
them	PRP
.	.
Exempt	NN
from	IN
domestic	JJ
convulsion	NN
and	CC
at	IN
peace	NN
with	IN
all	PDT
the	DT
world	NN
,	,
we	PRP
are	VBP
left	VBN
free	JJ
to	TO
consult	VB
as	IN
to	TO
the	DT
best	JJS
means	NNS
of	IN
securing	NN
and	CC
advancing	VBG
the	DT
happiness	NN
of	IN
the	DT
people	NNS
.	.
Such	JJ
are	VBP
the	DT
circumstances	NNS
under	IN
which	WDT
you	PRP
now	RB
assemble	VBP
in	IN
your	PRP$
respective	JJ
chambers	NNS
and	CC
which	WDT
should	MD
lead	VB
us	PRP
